ValgstedId,Ejerforhold_Antal_boliger_01. Ejerbolig,Ejerforhold_Antal_boliger_02. Andelsbolig,Ejerforhold_Antal_boliger_03. Almennyttig bolig,Ejerforhold_Antal_boliger_04. Lejer i offentligt ejet,Ejerforhold_Antal_boliger_05. Privat lejerbolig,Ejerforhold_Antal_boliger_06. Øvrige beboede boliger
510018,765.98,8,41.67,1,203.66,75.96
510019,381,0,10,0,103,13
510020,935.93,60,211,57,191.33,131.66
510021,272.74,6.25,10.71,6.25,56.90,18.19
510022,158.34,0.75,1.29,0.75,22.77,17.15
530001,1725,117,867,87,182,224
530002,715,55,74,18,122,98
530003,647,6,74,22,122,68
530004,308,15,24,0,55,57
530005,300,19,25,6,52,12
530006,2946,145,1242,106,402,353
530007,643,13,95,19,106,47
540001,1436,49,925,82,271,106
540002,669,9,471,1,134,11
540003,1037,28,199,49,243,106
540004,801,25,56,1,183,23
540005,1074,94,307,123,190,51
540006,1044,67,175,58,117,19
540007,828,4,35,24,223,22
540008,195,0,0,7,51,3
540009,1646,417,1852,55,287,254
540010,1104,0,2524,55,127,510
540011,1077,154,1242,53,1075,839
540012,1785,182,270,59,280,137
540013,1016,27,112,38,165,20
540014,561,8,41,0,133,18
540015,1354,78,240,0,258,107
540016,2313,133,657,97,459,222
540017,313,0,12,1,60,10
550001,573,22,53,21,151,44
550002,257,6,6,0,60,7
550003,189,5,0,0,40,4
550004,520,14,164,19,101,39
550007,198,0,8,0,36,18
550008,384,27,20,0,46,14
550012,872,45,385,10,189,147
550014,421,8,17,48,66,10
550015,210,5,35,0,78,29
550016,282,0,0,0,80,17
550017,615,21,45,0,161,103
550018,240,12,5,2,80,8
550019,170,8,0,0,51,6
550021,224,0,0,0,75,10
550023,1145,57,174,30,341,148
550024,359,0,0,0,88,18
550025,1876,150,1049,122,521,597
550027,359,14,14,0,63,12
550029,350,5,23,0,58,11
550051,197,6,30,3,40,21
550061,1040,55,281,9,305,136
550071,194,0,0,1,60,10
561002,1925,271,1283,231,1597,2637
561003,154,10,1056,276,75,249
561004,895,111,767,82,214,352
561005,1165,12,2054,58,101,88
561006,1125,275,1675,93,68,170
561007,1047,7,1051,240,103,84
561008,701,21,71,2,43,41
561011,1106,22,476,23,29,343
561012,1035,77,62,54,84,51
561015,2267,69,504,195,90,58
561016,2216,325,566,73,125,68
561017,500,40,13,3,16,22
561020,1042,107,94,41,114,44
561021,592,0,1243,154,17,4
561022,753,18,659,1,30,56
561023,887,120,786,2,37,3
561024,945,267,373,1,40,36
561025,3058,120,600,112,554,264
561028,2838,183,1091,120,700,626
561032,654,0,22,0,160,23
561033,872,34,73,0,170,33
561035,0,0,0,0,0,0
561038,544,0,12,0,123,26
561040,1077,47,112,37,210,112
563001,994,72,191,3,218,66
563002,148,8,0,3,32,11
573001,3408,350,2035,96,607,619
573004,391,6,13,6,32,21
573005,248,12,41,0,31,19
573006,282,0,6,0,44,17
573007,512,8,46,0,51,16
573008,368,6,33,0,50,23
573009,438,15,19,5,52,15
573010,440,0,0,0,78,57
573013,714,51,66,41,152,93
573014,282,0,0,1,49,32
573015,496,38,25,20,90,49
573018,1141,79,209,59,145,70
573019,199,5,8,3,37,27
573022,383,10,27,14,56,20
573023,501,6,79,24,101,30
573024,216,0,24,0,35,13
573026,470,8,48,0,63,17
573027,312,0,44,35,50,29
573028,436,16,42,15,62,28
573030,1798,59,243,93,330,169
573031,601,25,54,24,135,62
573032,571,0,70,31,112,35
573033,247,6,26,1,60,23
575001,1572,128,392,65,294,105
575002,271,6,10,6,49,17
575003,1052,20,235,1,292,114
575004,380,0,13,0,64,24
575005,365,7,50,0,82,33
575006,168,19,14,0,45,13
575007,915,123,300,34,212,86
575008,304,3,3,0,62,35
575009,747,35,145,18,135,48
575010,219,0,6,0,57,18
575011,537,17,88,2,133,23
575012,154,0,0,0,31,24
575013,262,0,9,0,38,15
575014,2111,234,1328,127,472,285
575015,228,6,0,0,37,2
575016,933,116,25,35,146,70
575017,479,7,51,0,65,15
575018,470,16,34,6,101,6
575019,637,8,61,9,121,91
580001,270,0,10,0,72,14
580002,270,15,5,0,74,34
580003,1697,308,840,12,190,140
580004,1393,40,96,44,230,103
580005,620,8,72,0,76,32
580006,294,6,14,0,72,20
580007,706,8,90,0,127,36
580008,738,25,111,12,108,27
580009,694,20,92,1,131,34
580010,385,6,26,25,88,38
580011,850,10,40,46,208,58
580012,956,26,353,27,229,123
580013,734,26,49,23,125,33
580014,1404,27,219,49,256,53
580015,1387,124,659,50,293,91
580016,1689,241,1039,195,703,1337
580017,887,159,773,2,110,117
580018,483,91,881,0,17,58
607001,3253,22,2209,148,716,859
607002,519,21,15,2,44,17
607003,3024,209,387,44,169,298
607004,254,19,10,0,53,8
607005,1661,97,181,45,141,180
607006,1647,117,3157,115,82,287
607007,675,43,25,3,49,5
607008,483,41,906,108,1137,1293
615001,662,42,1992,5,423,663
615002,899,54,876,58,533,1234
615003,1176,221,665,58,1016,2956
615004,0,0,0,0,0,0
615005,1227,100,962,74,346,401
615006,3258,156,331,20,214,107
615007,1988,60,108,1,156,55
615008,972,49,167,14,62,54
615009,923,124,82,3,116,68
615010,875,87,141,6,91,190
615011,2109,218,116,0,112,146
615012,1265,127,0,3,83,76
615013,1291,106,198,108,311,264
615014,583,9,10,1,79,40
615015,376,0,3,3,62,33
615016,1079,39,109,25,155,110
615017,854,57,79,17,77,164
615018,1053,51,98,35,134,151
615019,568,7,58,3,90,37
615020,253,0,0,0,14,11
615021,73,11,868,1,5,572
615022,190,6,0,1,20,13
621001,1071,88,1102,17,646,1346
621002,665,14,1664,126,116,241
621003,978,86,1685,1,104,71
621004,2269,345,480,46,161,395
621005,1690,93,205,102,116,82
621006,1500,75,184,1,164,90
621007,1663,72,301,0,288,138
621008,685,82,2055,9,307,875
621009,1799,28,483,23,738,1405
621010,1806,148,256,0,190,196
621011,1574,69,71,21,94,99
621012,1387,83,82,12,227,104
621013,918,21,194,59,68,64
621014,2119,100,338,53,394,297
621015,2006,61,270,65,496,213
630001,928,29,171,207,111,79
630002,1564,90,306,70,179,611
630003,720,32,16,1,97,11
630004,766,0,31,13,89,43
630005,621,8,56,0,88,37
630006,1040,21,189,35,211,163
630007,321,6,20,0,36,11
630008,609,26,69,1,86,35
630009,1631,144,2706,327,1174,2996
630010,375,9,40,7,67,21
630011,1501,105,204,125,67,97
630012,1081,21,113,0,143,241
630013,479,83,966,49,23,3
630014,664,18,672,59,45,39
630015,362,33,1479,66,279,655
630016,770,57,29,7,38,52
630017,1667,156,489,24,273,235
630018,693,15,80,4,148,68
630019,406,0,28,1,73,76
630020,357,0,19,0,69,74
630021,349,0,3,0,63,18
630022,177,0,0,0,22,3
630023,545,0,28,0,69,42
630024,1133,125,353,45,122,151
630025,593,0,0,4,88,28
630026,441,26,65,0,39,48
630027,656,24,115,2,86,44
630028,529,8,35,3,65,33
630029,484,8,27,2,88,62
630030,1313,136,1084,82,120,360
630031,541,6,35,7,61,139
630032,2490,156,557,153,130,283
630033,594,0,256,1,198,220
630034,1360,88,89,28,133,174
657001,4764,209,4465,540,1521,2543
657002,405,19,28,0,95,69
657005,1004,57,156,0,180,115
657006,317,0,9,1,80,17
657007,1970,103,117,64,140,138
657008,717,20,137,3,166,40
657009,318,6,14,0,75,16
657011,273,0,8,0,27,2
657013,1159,28,259,48,209,110
657014,253,0,24,0,51,14
657015,281,31,434,0,16,84
657016,361,14,27,5,90,16
657017,2335,123,663,58,296,443
657018,227,6,19,0,40,5
657019,318,0,10,0,52,16
657020,155,0,10,0,40,2
657021,282,7,15,2,33,25
657022,323,8,16,0,31,28
657023,1563,61,205,45,161,136
657024,1387,100,151,48,239,166
657025,396,0,12,1,41,62
657026,1732,60,313,151,150,234
657027,1215,59,285,36,249,152
657028,153,0,11,7,33,7
657029,537,10,51,0,78,7
657030,332,0,24,0,87,66
661001,4290,146,2088,220,1420,1082
661002,1712,20,69,2,116,94
661003,712,8,22,23,133,24
661004,1393,88,96,95,76,36
661005,3325,219,2387,15,297,306
661006,1782,45,195,72,365,136
661007,669,8,29,16,115,41
661008,991,54,195,49,159,76
661009,606,12,131,25,141,20
661010,424,0,20,18,62,22
665001,1878,122,539,183,469,292
665002,793,6,21,57,116,129
665003,754,22,43,24,79,12
665004,693,0,23,6,137,27
665005,462,0,13,18,108,23
665006,461,14,21,7,87,25
665007,629,26,60,21,178,49
665008,592,15,46,17,119,24
671001,1849,111,1141,180,603,407
671002,671,0,270,45,85,29
671003,566,8,40,0,76,21
671004,623,0,38,3,90,36
671005,666,16,73,23,48,17
671006,706,0,30,24,93,40
671007,1075,30,64,31,209,79
706001,2736,219,554,84,573,329
706002,1382,35,36,47,246,65
706003,728,22,36,8,193,65
706004,1044,39,126,32,214,90
706005,1375,43,190,30,324,169
706006,2201,125,468,73,253,298
706007,1119,29,151,5,198,78
706008,2388,139,352,106,335,196
707001,2707,187,700,179,637,568
707002,0,0,0,0,0,0
707003,824,8,50,7,223,60
707004,1642,65,1182,170,366,350
707005,1312,10,129,80,267,105
707006,729,28,42,27,145,46
707007,1003,21,125,93,244,42
707008,784,16,37,94,178,95
707009,1259,89,101,57,207,169
707010,602,8,83,4,106,43
710001,1545,80,404,82,174,172
710002,1119,95,189,41,147,83
710003,718,0,18,0,83,35
710004,1986,203,521,114,353,368
710005,703,0,6,2,78,39
710006,1254,154,328,22,124,138
710007,1188,166,334,0,41,47
710008,485,30,51,11,50,72
710009,1337,49,84,44,247,69
710010,1176,19,83,34,171,129
710011,665,35,8,22,103,35
710012,902,82,71,1,35,58
710013,377,23,16,15,67,34
710014,375,15,7,2,31,44
727001,3180,275,1455,88,632,685
727002,153,0,0,0,22,8
727003,616,0,20,0,84,15
727004,469,0,0,0,45,27
727005,625,29,109,0,101,38
727006,346,0,20,0,62,42
727007,449,8,0,3,78,15
727008,426,0,10,5,60,25
727009,0,0,0,0,0,0
727010,0,0,0,0,0,0
730001,893,78,122,53,137,180
730002,959,60,30,15,71,58
730004,307,0,2,0,51,8
730005,466,20,20,14,106,103
730006,387,0,8,0,108,37
730007,457,8,25,56,58,63
730008,831,26,47,51,78,118
730009,555,8,16,0,56,19
730010,485,12,8,9,78,46
730011,1186.19,73.27,705.97,20.79,91.09,222.78
730012,923,65,10,4,46,143
730013,1235,106,122,0,86,124
730014,858,30,87,31,52,56
730015,301,5,17,0,38,10
730016,376,26,10,38,40,17
730017,413,15,59,2,64,35
730021,821,30,78,9,66,34
730024,604.81,173.73,700.03,112.21,755.91,1088.22
730025,491,50,215,0,583,947
730026,1437,4,818,59,361,409
730027,654,27,1657,93,314,277
730028,419,144,182,83,881,1374
730029,1496,132,1054,160,250,486
730030,728,23,937,109,114,311
730031,2385,69,474,83,275,450
730032,1067,38,444,92,200,334
730033,538,162,219,59,39,28
730034,1183,8,117,0,33,48
730036,1245,82,82,70,142,169
730037,354,8,6,0,45,12
740001,997,54,123,16,177,144
740002,828,45,61,38,135,157
740003,598,18,76,0,139,94
740004,591,39,91,10,67,58
740005,398,12,31,5,75,31
740006,1546,135,922,87,129,276
740007,1482,117,386,125,333,350
740008,371,35,48,23,33,41
740009,446,0,9,1,74,18
740010,463,24,58,1,57,47
740011,507,106,146,1,60,15
740012,328,0,10,0,32,16
740013,1412,58,138,1,83,72
740014,349,0,24,21,48,12
740015,492,70,52,0,54,17
740016,910,8,76,33,164,86
740017,440,0,27,21,60,16
740018,560,22,49,0,49,43
740021,1362,12,132,44,60,213
740022,672,48,43,23,116,43
740023,1399,97,178,0,56,184
740024,343,64,14,0,34,7
740025,153,0,0,2,40,27
740026,194,133,860,14,38,255
740027,805,114,149,0,59,343
740028,979,120,963,0,147,69
740029,1085,147,2060,15,124,110
740030,1061,98,151,71,147,71
740031,1548,176,906,180,1374,1216
740032,1028,91,200,4,87,33
741001,1119,17,97,44,357,98
741002,157,6,5,0,63,14
746001,774,26,44,0,69,35
746002,1747,124,298,60,264,115
746003,557,17,66,8,70,37
746004,2460,267,386,87,179,293
746005,1107,37,82,17,128,83
746006,2261,196,804,252,617,787
746007,1760,147,847,26,81,154
746008,2096,133,315,63,176,309
746009,1554,105,85,2,110,120
746010,1385,72,226,1,85,55
746011,708,8,23,0,59,33
746012,731,11,37,1,67,13
751001,1739,579,228,405,3022,3270
751002,398,252,1599,149,1037,1301
751003,1786,122,1795,177,275,139
751004,1285,1,949,103,246,173
751006,2696,376,740,156,94,422
751007,1528,64,1255,76,122,284
751008,1906,185,2123,342,649,1774
751009,1308,102,452,49,93,29
751010,848.23,226.26,674.20,105.21,1092.27,1958.16
751011,1395,134,632,28,61,142
751012,1533,181,245,63,59,132
751013,1596,93,308,55,71,166
751014,281.43,71.93,228.33,35.31,348.13,642.63
751016,249,9,0,0,27,20
751018,1707,114,886,86,98,279
751019,1185,249,523,86,49,135
751020,434.75,187.83,239.28,44.68,886.26,1164.93
751021,990.59,427.98,545.19,101.80,2019.35,2654.29
751022,1200,7,328,37,229,168
751023,1677,93,1921,162,186,393
751024,2382,120,228,103,196,461
751025,359,0,2880,5,85,418
751026,1379,86,669,1,56,794
751027,485,182,967,71,1145,1446
751028,1330,281,1821,153,99,655
751030,1207,177,229,65,85,152
751031,225,0,10,0,17,19
751033,952,42,356,43,62,225
751041,687,355,584,33,1443,1583
751042,1060,266,1835,219,1976,1841
751043,626,5,2504,310,446,858
751044,297,75,140,73,41,85
751045,3184,6,179,61,298,418
751047,2963,246,1166,88,174,365
751048,808,171,528,79,49,19
751049,1573,61,320,0,156,241
751050,1665,125,183,96,82,152
751051,2350,278,694,56,147,298
751053,755,91,400,54,107,96
751055,277,66,31,0,34,65
751056,570,0,75,1,79,63
751061,1079,350,2901,404,331,2154
751062,152,0,1679,20,76,45
751063,998,2,4084,153,79,970
751064,1239,45,1554,177,247,541
751065,1910,164,878,83,99,856
751066,1410,78,702,80,76,653
751067,639,104,927,42,889,775
751068,252,1,1426,0,11,35
756001,750,25,101,2,165,79
756002,357,16,2,3,74,15
756003,731,42,104,14,149,81
756004,320,8,37,0,64,33
756005,2242,150,508,125,436,467
756006,290,0,6,0,56,35
756007,4218,240,1659,110,738,691
756008,310,17,24,4,48,25
756009,1060,50,112,1,197,173
756010,909,43,78,4,142,89
760001,1586.24,73.15,272.24,63.21,354.28,172.29
760002,467,25,15,21,60,22
760004,323.63,7.85,32.75,6.79,73.18,35.29
760007,761.13,0,40.00,0,182.54,48.43
760010,1042,35,153,28,204,81
760012,367,49,63,0,31,22
760014,2347,134,1021,112,470,514
760016,470,8,33,0,105,28
760021,672,29,103,20,104,56
760022,779,22,34,29,138,61
760024,2146,160,821,63,361,359
760025,388,19,30,18,89,34
760027,781,13,30,0,151,65
760028,400,0,34,0,53,33
760030,1449,81,299,68,277,170
760032,463,0,22,0,94,26
760033,823,0,17,24,125,38
760035,1175,22,108,16,227,111
766001,2398,146,420,64,316,378
766002,1200,12,247,4,207,215
766003,632,26,32,1,75,67
766004,483,11,29,5,53,94
766005,211,12,3,0,17,6
766006,453,17,3,0,44,26
766007,1454,125,450,2,264,237
766010,570,0,33,1,107,15
766011,488,0,6,1,66,42
766012,541,54,157,31,93,54
766013,532,8,18,5,111,93
766014,489,0,34,9,90,27
766015,807,39,32,0,94,41
766017,901,28,60,0,107,63
766020,612,29,34,2,51,61
766021,746,83,259,23,202,164
766022,454,24,89,1,104,49
766023,419,0,11,1,94,17
766024,330,0,37,0,40,8
773001,542,8,0,0,97,20
773002,1566.24,24.70,39,8.85,205.88,93.22
773003,918.69,8.30,21,35.42,143.87,42.26
773004,707,0,18,28,124,47
773005,2605.07,163,919,221.73,642.25,686.52
779020,312,0,30,1,52,12
779021,5062,271,2901,215,1167,1772
779022,1852,28,158,0,189,136
779023,1146,52,81,44,150,107
779024,1323,8,76,48,212,63
779025,1108,48,115,47,185,73
779026,1243,39,81,60,253,104
779027,1112,11,53,35,221,34
787001,3889.71,305,1346.74,280.55,955.01,622.24
787002,1168.59,70.45,66.98,23.94,244.97,45.48
787003,1362.43,89.06,172.30,52.04,336.86,112.97
787004,892.19,33.53,125.59,31,216.61,87.30
787005,1005.58,23.61,44,55.99,158.64,42.53
787006,394,0,19,0,94,7
787007,687.24,16.52,32.24,28.18,110.50,28.69
787008,649.18,7.96,53.23,5.49,145.78,48.38
787009,568.10,8,21.09,2.28,83.90,24.55
787010,424,11,17,20,108,14
787011,333.22,16.94,20.02,3.24,68.37,7.85
787012,764.14,8.46,44.24,48.29,147.86,29.95
787013,375.61,13.47,9.58,21,102.51,18.05
787014,428,8,16,32,37,5
787015,314,20,34,20,51,29
791001,958,58,57,24,238,166
791002,1109,44,87,6,82,66
791003,819,37,478,39,170,136
791004,1107,0,92,0,206,100
791005,783,25,51,0,115,38
791006,1022,64,160,8,178,73
791007,732,0,69,1,154,19
791008,6084,152,4150,364,1444,3136
791009,2912,246,545,166,468,325
791011,786,23,57,0,124,52
791012,1437,65,80,48,276,175
791013,3457,340,1410,25,296,338
791014,1078,8,129,25,201,78
791015,982,26,163,18,196,91
791016,1148,42,84,23,200,190
791017,957,47,100,58,182,91
810001,290,0,18,0,73,16
810002,609,0,56,0,156,83
810003,1506,89,231,31,260,198
810004,458,0,19,0,75,39
810005,1330,109,186,1,180,175
810006,626,0,48,0,110,62
810010,3122,325,1426,63,692,768
810034,211,0,20,0,41,6
810040,430,0,10,0,67,3
810050,515,18,11,16,82,26
810056,219,0,6,0,56,8
810070,805,7,29,38,160,48
810080,283,0,5,0,67,12
813001,2179,204,1362,65,264,177
813002,643,38,77,2,90,58
813003,333,0,19,0,62,21
813004,612,8,15,0,57,14
813005,849,0,141,0,109,34
813006,5379,299,4406,21,1090,1349
813007,657,15,18,0,101,17
813008,667,26,49,1,69,15
813009,2785,337,935,6,450,323
813010,349,8,29,15,93,40
813011,272,0,15,0,71,4
813012,271,0,0,0,58,16
813013,662,0,35,0,149,38
813014,242,0,10,0,58,9
813015,696,0,87,0,215,53
820001,1174,26,292,69,189,166
820002,1401,36,210,74,379,230
820003,262,0,0,0,63,17
820004,2374,207,722,177,580,451
820005,582,0,5,1,122,56
820006,367,0,10,0,71,21
820007,620,8,27,22,153,41
820008,554,8,76,2,137,47
820009,346,0,0,1,91,63
820010,1433,76,367,106,294,288
820011,575,9,10,24,154,96
820012,454,0,7,0,98,27
820013,343,0,10,1,97,17
820014,269,0,19,0,48,17
825015,719,0,60,49,138,34
840001,2672,292,394,24,298,335
840002,1233,140,174,52,129,119
840003,737,0,120,0,141,59
840004,863,35,26,41,174,73
840005,898,32,118,25,144,75
840006,404,11,41,20,105,21
840007,640,18,29,10,52,32
840008,523,8,25,24,100,45
840009,300,0,12,0,64,26
840010,524,9,16,1,79,36
840011,252,0,0,0,36,8
846002,722,38,54,25,133,105
846003,1165,70,154,166,217,172
846004,1132,73,207,58,175,124
846008,697,35,42,2,118,33
846009,764,0,37,1,161,37
846011,1944,126,355,213,432,261
846014,351,0,10,0,98,51
846018,879,47,28,36,199,66
846020,1157,24,29,1,154,69
846022,651,27,32,15,91,140
846027,2442,209,985,134,587,1315
849001,1834,123,404,36,212,189
849002,674,8,32,1,82,14
849003,543,27,38,0,42,21
849004,426,17,42,9,52,20
849005,388,15,32,0,58,25
849006,233,4,11,3,73,10
849007,202,0,16,0,47,7
849008,799,84,161,88,265,112
849009,483,0,22,1,97,24
849010,233,0,7,0,42,5
849011,389,7,18,5,70,18
849012,532,0,16,0,130,36
849013,1212,104,259,118,304,121
849014,456,0,23,12,103,19
849015,343,0,0,0,65,18
849016,420,0,0,0,80,14
849018,1902,67,253,69,360,188
849020,635,0,43,1,142,62
849021,448,0,53,1,92,30
851003,1161.80,187.08,1651.69,9.55,331.46,826.97
851004,906.20,145.92,1288.31,7.45,258.54,645.03
851005,1924,72,2611,82,356,599
851007,904,51,143,1,123,67
851009,923.36,38.51,157.14,7.08,92.96,102.25
851010,1162.64,48.49,197.86,8.92,117.04,128.75
851011,1924,207,520,83,239,321
851012,308.27,28.67,418.04,50.51,472.37,1056.70
851014,316,147,1358,26,352,774
851015,518,129,713,1,1151,2542
851016,820.73,76.33,1112.96,134.49,1257.63,2813.30
851017,1935,85,1255,2,523,377
851018,1375,72,869,13,101,285
851019,2189.63,307.12,690.70,17.06,124.49,464.47
851020,1275.37,178.88,402.30,9.94,72.51,270.53
851022,1809,115,15,0,151,111
851024,1999,242,601,99,115,147
851027,652.71,188.65,2302.44,27.01,766.91,1381.47
851028,391.16,190.38,1681.68,28.61,720.42,1312.36
851029,1239.87,224.41,1951.23,27.33,183.85,1376.98
851030,686.12,20.18,1802.50,0,252.25,343.06
851031,1838,44,1267,92,297,236
851032,982,230,367,6,86,241
851033,1430,162,133,0,102,93
851034,1970.35,241.02,394.55,31.82,124.09,101.82
851035,1764,245,255,11,153,81
851036,783.80,141.36,1221.61,17.23,115.48,861.31
851038,1094,36,49,2,80,43
851040,568,89,3028,0,14,718
851043,1839,47,193,54,235,128
851044,1458,112,167,24,373,201
851046,472,0,34,0,114,32
851047,1919,161,408,3,307,197
851052,719,0,30,1,146,37
851056,635,18,58,27,139,86
851058,852,20,58,41,184,57
851061,1574,127,126,56,182,91
860001,662,0,15,0,66,27
860003,1540,69,697,48,473,169
860004,962,114,1147,80,815,859
860006,647,28,0,11,100,13
860007,539,0,59,18,119,67
860008,604,0,31,30,119,18
860011,1057,44,92,48,253,72
860012,618,13,11,10,117,19
860013,611,7,25,6,71,10
860014,593,12,17,1,118,24
860015,1826,278,414,1,242,198
860016,2101,42,332,124,361,136
860018,1551,161,1038,40,161,146
860019,1229,69,170,52,303,140
860020,408,0,8,0,71,17
860021,939,34,82,38,214,120
860022,1015,62,155,70,298,126
860023,386,16,12,0,74,17
860026,416,0,18,16,86,38
860027,366,0,0,0,59,14
860028,523,0,12,0,115,24
