Gruppe,ValgstedId,KredsNr,StorKredsNr,LandsdelsNr,Husstande efter bilrådighed_1. Husstande uden bil,Husstande efter bilrådighed_2. Husstande med 1 bil,Husstande efter bilrådighed_3. Husstande med 2 eller flere biler
,101001,1,1,1,5056,956,2032
,101002,1,1,1,2385,658,1256
,101003,1,1,1,4591,807,2229
,101005,1,1,1,5361,1057,1958
,101006,1,1,1,4349,954,1802
,101007,2,1,1,4173,856,2084
,101008,2,1,1,6431,1027,2036
,101009,2,1,1,5026,746,2363
,101010,2,1,1,3606,1022,2639
,101011,3,1,1,5368,916,1838
,101012,3,1,1,2045,518,1565
,101013,3,1,1,3936,836,1837
,101014,3,1,1,5367,1189,2273
,101016,4,1,1,4850,889,1813
,101017,4,1,1,7758,1183,2177
,101018,4,1,1,3423,800,1650
,101019,4,1,1,2787,788,2449
,101020,5,1,1,3658,451,824
,101021,5,1,1,5899,664,1151
,101022,5,1,1,2739,367,908
,101023,5,1,1,3315,438,921
,101024,5,1,1,3205,485,1099
,101025,5,1,1,5251,648,1286
,101027,6,1,1,6097,958,1417
,101028,6,1,1,3376,760,1499
,101029,6,1,1,1982,408,831
,101030,6,1,1,5211,799,1240
,101031,7,1,1,1090,376,1031
,101032,7,1,1,1497,236,877
,101033,7,1,1,2715,701,1606
,101034,7,1,1,2780,739,2111
,101035,7,1,1,2648,633,1636
,101036,7,1,1,2220,604,2470
,101039,7,1,1,1954,519,868
,101040,7,1,1,1106,366,1585
,101041,7,1,1,4195,1059,2140
,101042,8,1,1,2718,713,1984
,101043,8,1,1,3834,833,1560
,101044,8,1,1,2688,597,1591
,101046,8,1,1,1984,510,1146
,101047,8,1,1,1987,331,1000
,101048,8,1,1,3301,627,1440
,101049,9,1,1,3240,538,1125
,101050,9,1,1,3895,592,1231
,101051,9,1,1,4767,807,1303
,101052,9,1,1,2954,440,955
,101053,9,1,1,2691,419,1206
,101054,9,1,1,2095,251,289
,101055,9,1,1,3783,775,2247
,101056,1,1,1,2966,690,1665
,101057,2,1,1,3138,447,1896
,101058,5,1,1,5075,655,1484
,101059,6,1,1,2633,486,1112
,147001,10,1,1,2597,758,2118
,147002,10,1,1,2624,857,2199
,147003,10,1,1,4339,1037,2467
,147004,10,1,1,4119,997,2273
,147005,11,1,1,4719,1038,2092
,147006,11,1,1,3687,1049,1960
,147007,11,1,1,3810,963,2030
,147008,11,1,1,3431,891,1540
,151001,20,2,1,1099,450,1339
,151002,20,2,1,2068,802,1573
,151003,20,2,1,314.05,185.57,905.98
,151004,20,2,1,767,251,929
,151005,20,2,1,308,233,1480
,151006,20,2,1,1658,677,1639
,151008,20,2,1,606,392,1513
,151009,20,2,1,500.95,362.43,1211.02
,151010,20,2,1,247,206,790
,153001,18,2,1,320,275,1251
,153002,18,2,1,950,439,941
,153003,18,2,1,907,386,835
,153004,18,2,1,1716,609,1598
,153005,18,2,1,918.33,324.24,1540.39
,153006,18,2,1,854.67,301.76,1433.61
,155001,12,1,1,596,364,1388
,155004,12,1,1,628,600,2532
,157001,13,2,1,878,563,1920
,157002,13,2,1,977,525,1422
,157003,13,2,1,656,466,1718
,157004,13,2,1,1633,586,1559
,157005,13,2,1,704,444,1870
,157006,13,2,1,805,709,1965
,157007,13,2,1,1333,787,1933
,157008,13,2,1,961,701,1424
,157009,13,2,1,780,617,1816
,157010,13,2,1,1268,766,1418
,159001,15,2,1,1392.91,616.72,1512.02
,159002,15,2,1,1904,827,1720
,159003,15,2,1,1299,525,2061
,159004,15,2,1,1519,636,2087
,159005,15,2,1,1598,723,2123
,159006,15,2,1,1379,478,1953
,159007,15,2,1,1073,441,1155
,159008,15,2,1,992,461,1431
,159009,15,2,1,737.09,294.28,958.98
,161001,20,2,1,207,150,916
,161002,20,2,1,699,279,707
,161003,20,2,1,1269,589,1186
,161004,20,2,1,1189,455,788
,161005,20,2,1,63,81,610
,161006,20,2,1,494,284,997
,163001,16,2,1,2327,891,2104
,163002,16,2,1,632,469,2482
,163003,16,2,1,1791,702,2083
,165001,19,2,1,1354,424,1186
,165002,19,2,1,558,312,1132
,165003,19,2,1,1047,391,904
,165004,19,2,1,1367,299,957
,165005,19,2,1,668,389,1562
,167001,17,2,1,1340,469,1164
,167002,17,2,1,888,377,956
,167003,17,2,1,1521,401,1173
,167004,17,2,1,1025,411,1416
,167005,17,2,1,840,454,1739
,167006,17,2,1,1266,442,1618
,167007,17,2,1,723,390,2145
,167008,17,2,1,1285,479,1539
,169001,19,2,1,845,380,752
,169002,19,2,1,634,357,1145
,169004,19,2,1,473,336,1568
,169006,19,2,1,1196,489,1442
,169007,19,2,1,1116,641,1658
,169008,19,2,1,937,374,881
,169009,19,2,1,117,158,713
,169010,19,2,1,465.27,235.43,1034.29
,169012,19,2,1,357,371,1577
,169013,19,2,1,14,52,269
,169014,19,2,1,283.73,143.57,630.71
,173001,14,2,1,1566,770,1215
,173002,14,2,1,2078,581,1158
,173003,14,2,1,1772,484,1265
,173004,14,2,1,1220,649,1567
,173005,14,2,1,140,130,392
,173006,14,2,1,484,352,1892
,173007,14,2,1,512,306,1391
,173008,14,2,1,1247,751,2038
,173009,14,2,1,1127,588,1432
,175001,16,2,1,742,289,957
,175002,16,2,1,1009,377,1296
,175003,16,2,1,1433,660,1672
,175004,16,2,1,1473,548,1001
,175005,16,2,1,1200,549,1842
,175006,16,2,1,579,345,1711
,175007,16,2,1,599,186,350
,183001,18,2,1,118,94,527
,183002,18,2,1,316,206,1020
,183003,18,2,1,947,353,1188
,183004,18,2,1,1095.97,264.71,963.13
,183005,18,2,1,783.03,449.29,1246.87
,185001,12,1,1,332,262,1791
,185002,12,1,1,358,260,2083
,185003,12,1,1,1342,507,1402
,185004,12,1,1,946,364,1252
,185005,12,1,1,429,230,1389
,185006,12,1,1,2723,1148,2121
,187001,18,2,1,609,445,1359
,187002,18,2,1,368,250,1250
,187003,18,2,1,457,326,1574
,190001,25,3,1,1236,723,2439
,190002,25,3,1,114,169,1058
,190003,25,3,1,230,345,1415
,190004,25,3,1,87,110,428
,190005,25,3,1,390,401,1586
,190006,25,3,1,576,614,2399
,190007,25,3,1,1160,475,1214
,201001,26,3,1,134,185,967
,201002,26,3,1,633,419,1317
,201003,26,3,1,481,360,1539
,201004,26,3,1,239,358,1505
,201005,26,3,1,265,315,1771
,210001,22,3,1,664,544,1740
,210002,22,3,1,281,305,1330
,210003,22,3,1,682,417,1171
,210004,22,3,1,594,403,1277
,210005,22,3,1,1003,706,2624
,210007,22,3,1,329,353,1161
,210008,22,3,1,24,55,337
,210009,22,3,1,637,358,942
,217001,21,3,1,2320.87,1122.01,1911.26
,217002,21,3,1,1989,773,2263
,217003,21,3,1,1254,580,1813
,217004,21,3,1,451,402,1600
,217005,21,3,1,428,448,1455
,217006,21,3,1,35,85,386
,217007,21,3,1,70,145,476
,217008,21,3,1,62,58,343
,217009,21,3,1,524,376,1341
,217010,21,3,1,406,286,1321
,217011,21,3,1,760,561,1753
,217012,21,3,1,699.13,337.99,575.74
,219001,23,3,1,1694,811,2129
,219002,23,3,1,784,487,1581
,219003,23,3,1,20,39,267
,219004,23,3,1,39,98,469
,219005,23,3,1,65,155,685
,219006,23,3,1,498,418,1679
,219007,23,3,1,146,168,561
,219008,23,3,1,32,48,342
,219009,23,3,1,516,382,1154
,219010,23,3,1,1202,691,1650
,219011,23,3,1,56,151,613
,219012,23,3,1,225,217,1110
,219013,23,3,1,73,74,412
,219014,23,3,1,34,110,385
,223001,22,3,1,770,867,1549
,223002,22,3,1,652,584,1796
,223003,22,3,1,167,322,1378
,223004,22,3,1,6,20,134
,223005,22,3,1,914,593,1765
,230001,26,3,1,804,563,1834
,230003,26,3,1,665,497,1798
,230004,26,3,1,1140,617,1220
,230005,26,3,1,564,548,2040
,230006,26,3,1,263,242,942
,230007,26,3,1,1033,624,2046
,230008,26,3,1,559,488,1453
,230009,26,3,1,590,379,924
,230010,26,3,1,609,647,2127
,240001,25,3,1,75,66,315
,240002,25,3,1,502,710,2994
,240003,25,3,1,532.93,381.80,1738.00
,240004,25,3,1,174,142,512
,240005,25,3,1,126,208,1061
,240006,25,3,1,38,107,467
,240007,25,3,1,418.07,367.68,2041.36
,240008,25,3,1,352.84,300.25,1742.23
,240009,25,3,1,316.15,359.27,1290.41
,250001,24,3,1,1403,864,1718
,250002,24,3,1,461,475,1675
,250003,24,3,1,404,358,1894
,250004,24,3,1,614,780,2275
,250005,24,3,1,664,798,2321
,250006,24,3,1,526,564,2235
,253001,35,5,2,1334.43,669.20,1517.63
,253002,35,5,2,1921.68,1360.15,5200.17
,253003,35,5,2,308.89,385.65,2132.20
,253004,35,5,2,615,493,2557
,253005,35,5,2,321,398,2111
,259001,34,5,2,1351,856,2472
,259002,34,5,2,1118.52,590.97,1412.03
,259003,34,5,2,1106.38,511.26,1828.46
,259004,34,5,2,282,249,1258
,259005,34,5,2,741,482,1500
,259006,34,5,2,755,578,2197
,259007,34,5,2,189.62,236.74,1208.54
,259008,34,5,2,72.48,132.03,798.97
,259009,34,5,2,206,227,1039
,259010,34,5,2,49,88,386
,259011,34,5,2,607,417,1646
,260001,24,3,1,986,882,2607
,260002,24,3,1,270,423,1126
,260003,24,3,1,310.78,285.53,1120.73
,260004,24,3,1,1329.22,904.47,2579.27
,260005,24,3,1,265,280,863
,265001,36,5,2,1120,575,1175
,265002,36,5,2,665,516,1521
,265003,36,5,2,1359,669,1846
,265004,36,5,2,954,499,1063
,265005,36,5,2,1786,707,1460
,265006,36,5,2,753,563,2113
,265007,36,5,2,262,345,1260
,265008,36,5,2,92,118,786
,265009,36,5,2,54,51,350
,265010,36,5,2,2025,795,1341
,265011,36,5,2,197,232,991
,265013,36,5,2,281,422,1972
,265014,36,5,2,115,183,885
,265015,36,5,2,203,259,1061
,265016,36,5,2,74,111,715
,265017,36,5,2,443,343,1740
,265018,36,5,2,30,59,326
,265021,36,5,2,1167,269,1201
,269001,35,5,2,275,322,1410
,269004,35,5,2,570,502,2319
,269005,35,5,2,901,654,2751
,270001,23,3,1,248,450,1309
,270002,23,3,1,171,317,882
,270003,23,3,1,16,33,148
,270004,23,3,1,381,381,1340
,270005,23,3,1,63,165,696
,270006,23,3,1,665,624,1848
,270007,23,3,1,76,141,429
,270008,23,3,1,861,668,2128
,270009,23,3,1,43,75,286
,270010,23,3,1,88,196,908
,270011,23,3,1,200,263,790
,270012,23,3,1,134,246,522
,306001,38,5,2,443,463,1124
,306002,38,5,2,280,398,1082
,306003,38,5,2,212,296,710
,306004,38,5,2,369,282,880
,306005,38,5,2,135,180,365
,306006,38,5,2,354,330,856
,306007,38,5,2,1057,755,1529
,306008,38,5,2,148,262,463
,306010,38,5,2,81,161,439
,306011,38,5,2,413,470,1006
,306012,38,5,2,51,104,195
,306013,38,5,2,109,85,304
,316001,37,5,2,1056,797,2815
,316002,37,5,2,1751,1047,2291
,316003,37,5,2,1282,781,1341
,316004,37,5,2,129,254,1239
,316005,37,5,2,205,298,1341
,316006,37,5,2,120,254,677
,316007,37,5,2,500,364,1330
,316008,37,5,2,220,295,976
,316009,37,5,2,234,297,1177
,316010,37,5,2,191,311,912
,316011,37,5,2,634,485,1306
,316012,37,5,2,307,383,1155
,316013,37,5,2,393,324,951
,316014,37,5,2,215,273,985
,316015,37,5,2,120,141,237
,320001,33,5,2,468,562,2114
,320002,33,5,2,1130,803,2145
,320003,33,5,2,677,475,1229
,320004,33,5,2,380,452,1099
,320005,33,5,2,328,373,1156
,320006,33,5,2,162,239,1117
,320007,33,5,2,220,381,1037
,326001,38,5,2,265,413,955
,326002,38,5,2,69,59,82
,326003,38,5,2,413,451,1230
,326004,38,5,2,368,307,804
,326005,38,5,2,122,181,527
,326006,38,5,2,50,92,179
,326007,38,5,2,85,132,359
,326008,38,5,2,261,290,869
,326009,38,5,2,595,470,1314
,326010,38,5,2,78,158,542
,326011,38,5,2,62,113,422
,326012,38,5,2,852,420,861
,326013,38,5,2,721,472,745
,326014,38,5,2,98,122,476
,326015,38,5,2,162,284,1040
,326016,38,5,2,262,398,1308
,326017,38,5,2,65,103,233
,326018,38,5,2,811,441,992
,329001,39,5,2,1903,947,2664
,329002,39,5,2,26,57,233
,329003,39,5,2,27,50,235
,329004,39,5,2,403,468,1624
,329005,39,5,2,38,103,386
,329006,39,5,2,1057,580,1376
,329008,39,5,2,60,105,429
,329009,39,5,2,41,92,374
,329010,39,5,2,46,85,398
,329011,39,5,2,47,64,194
,329012,39,5,2,33,64,340
,329013,39,5,2,83,92,392
,329014,39,5,2,42,83,248
,330001,40,5,2,148,293,959
,330003,40,5,2,116,115,506
,330004,40,5,2,99,164,542
,330005,40,5,2,1333,781,1847
,330006,40,5,2,1452,677,1581
,330007,40,5,2,124,182,733
,330008,40,5,2,139,246,1050
,330009,40,5,2,1150,615,1638
,330010,40,5,2,118,157,492
,330011,40,5,2,1081,983,2230
,330012,40,5,2,0,0,0
,330013,40,5,2,91,109,392
,330017,40,5,2,0,0,0
,330019,40,5,2,3125,1303,2507
,330021,40,5,2,686,558,1748
,330022,40,5,2,1588,702,1927
,330024,40,5,2,54,99,384
,330025,40,5,2,153,323,974
,336001,33,5,2,403,476,1626
,336002,33,5,2,382,613,2146
,336003,33,5,2,706,561,1548
,336004,33,5,2,269,377,1136
,340001,39,5,2,598,554,1584
,340002,39,5,2,169,188,563
,340004,39,5,2,72,157,553
,340005,39,5,2,908,627,1265
,340006,39,5,2,373,403,1393
,340008,39,5,2,311,344,1162
,340010,39,5,2,386,509,1524
,350001,34,5,2,299,344,1142
,350002,34,5,2,135,190,771
,350003,34,5,2,70,139,505
,350004,34,5,2,45,94,445
,350005,34,5,2,51,73,347
,350006,34,5,2,466,320,1267
,350008,34,5,2,144,155,855
,350009,34,5,2,128,211,841
,350011,34,5,2,191,151,793
,350012,34,5,2,135,207,909
,360001,29,5,2,68,101,212
,360003,29,5,2,382,303,644
,360008,29,5,2,118,113,256
,360011,29,5,2,339.84,227.35,601.02
,360013,29,5,2,1138,796,1685
,360014,29,5,2,0,0,0
,360019,29,5,2,297,373,870
,360020,29,5,2,2004,913,1927
,360021,29,5,2,763.99,487.63,1230.88
,360026,29,5,2,60.17,79.02,132.10
,360027,29,5,2,76,71,121
,360028,29,5,2,0,0,0
,360029,29,5,2,236,267,642
,360035,29,5,2,245,323,724
,360036,29,5,2,454,385,957
,360037,29,5,2,393,211,331
,370001,32,5,2,452,449,1164
,370002,32,5,2,50,94,287
,370003,32,5,2,136,220,557
,370004,32,5,2,154,171,817
,370005,32,5,2,32,81,298
,370006,32,5,2,131,223,727
,370007,32,5,2,69,144,485
,370008,32,5,2,367,400,1482
,370009,32,5,2,85,116,428
,370010,32,5,2,105,145,454
,370011,32,5,2,278,296,887
,370012,32,5,2,29,34,168
,370014,32,5,2,260,346,1131
,370020,32,5,2,640,391,1274
,370021,32,5,2,1086,536,656
,370022,32,5,2,2003,1044,2105
,370023,32,5,2,872,622,1545
,370024,32,5,2,880,713,1639
,370026,32,5,2,281,288,977
,370027,32,5,2,655,541,1611
,370028,32,5,2,1044,568,1069
,370029,32,5,2,40,54,271
,370031,32,5,2,106,175,557
,370032,32,5,2,196,332,772
,376001,30,5,2,1431,631,872
,376002,30,5,2,815,477,926
,376003,30,5,2,706,357,975
,376004,30,5,2,917,508,1061
,376005,30,5,2,105,236,832
,376006,30,5,2,174,185,531
,376007,30,5,2,345,334,1003
,376008,30,5,2,367,349,813
,376009,30,5,2,124,196,442
,376010,30,5,2,415,334,844
,376011,30,5,2,145,237,675
,376012,30,5,2,213,255,764
,376013,30,5,2,914,664,1382
,376014,30,5,2,134,187,462
,376015,30,5,2,77,115,343
,376016,30,5,2,525,502,936
,376017,30,5,2,217,309,905
,376018,30,5,2,151,197,572
,376019,30,5,2,234,420,1078
,376020,30,5,2,239,208,304
,390001,31,5,2,1293,661,1175
,390002,31,5,2,739,542,964
,390003,31,5,2,245,263,851
,390004,31,5,2,204,251,787
,390005,31,5,2,91,123,332
,390006,31,5,2,220,361,1104
,390007,31,5,2,161,198,584
,390008,31,5,2,821,766,1365
,390009,31,5,2,197,191,411
,390010,31,5,2,195,268,618
,390011,31,5,2,85,151,340
,390012,31,5,2,635,549,1078
,390013,31,5,2,74,118,342
,390014,31,5,2,50,104,233
,390015,31,5,2,166,182,527
,390016,31,5,2,176,281,607
,390017,31,5,2,135,184,588
,400001,28,4,1,462,381,909
,400002,28,4,1,310,319,816
,400003,28,4,1,226,238,602
,400004,28,4,1,727,484,1117
,400005,28,4,1,153,194,470
,400006,28,4,1,591,529,1469
,400007,27,4,1,186,254,759
,400008,27,4,1,2799,1424,3417
,400009,27,4,1,323,342,773
,410001,45,6,2,1030,912,1730
,410002,45,6,2,586,565,1999
,410003,45,6,2,186,325,1405
,410004,45,6,2,172,269,917
,410005,45,6,2,105,120,472
,410006,45,6,2,350,334,1070
,410007,45,6,2,79,138,575
,410008,45,6,2,291,290,856
,410009,45,6,2,221,259,760
,410010,45,6,2,179,242,747
,410011,45,6,2,74,140,496
,411001,28,4,1,0,0,0
,420001,44,6,2,1114,791,1771
,420002,44,6,2,93,161,586
,420003,44,6,2,34,68,256
,420004,44,6,2,40,59,282
,420005,44,6,2,444,331,1137
,420006,44,6,2,17,69,239
,420007,44,6,2,54,97,402
,420008,44,6,2,339,310,866
,420009,44,6,2,86,98,298
,420010,44,6,2,48,73,294
,420011,44,6,2,396,532,1748
,420012,44,6,2,37,81,244
,420013,44,6,2,319,341,924
,420014,44,6,2,34,66,217
,420015,44,6,2,46,137,548
,420016,44,6,2,160,168,555
,420017,44,6,2,172,195,748
,420018,44,6,2,126,130,478
,430001,48,6,2,70,135,501
,430002,48,6,2,134,130,376
,430003,48,6,2,130,211,590
,430004,48,6,2,64,115,301
,430005,48,6,2,0,0,0
,430007,48,6,2,1221,987,2132
,430008,48,6,2,132,204,593
,430009,48,6,2,176,211,572
,430010,48,6,2,0,0,0
,430011,48,6,2,149,217,639
,430012,48,6,2,146,196,496
,430013,48,6,2,61,117,440
,430014,48,6,2,80,129,427
,430015,48,6,2,898,723,2086
,430016,48,6,2,56,87,326
,430017,48,6,2,195,224,569
,430018,48,6,2,265,216,635
,430019,48,6,2,157,258,662
,430020,48,6,2,207,284,1153
,430021,48,6,2,143,153,570
,430022,48,6,2,188,357,1369
,440001,46,6,2,103,231,597
,440002,46,6,2,965,715,1798
,440003,46,6,2,105,175,679
,440004,46,6,2,87,151,659
,440005,46,6,2,411,385,1295
,440006,46,6,2,674,571,1620
,450001,46,6,2,92,149,504
,450002,46,6,2,1533,829,2338
,450003,46,6,2,1150,764,1600
,450004,46,6,2,216,234,647
,450005,46,6,2,52,97,308
,450006,46,6,2,280,259,818
,450007,46,6,2,18,34,157
,450008,46,6,2,17,53,180
,450009,46,6,2,48,67,271
,450010,46,6,2,248,211,481
,450011,46,6,2,74,110,420
,450012,46,6,2,62,93,388
,450013,46,6,2,52,82,367
,461001,41,6,2,4074,1191,1712
,461002,41,6,2,2325,1099,2279
,461003,41,6,2,1021,384,809
,461004,41,6,2,2817,981,1725
,461005,41,6,2,1844,731,1650
,461006,41,6,2,132,209,843
,461007,41,6,2,693,493,1630
,461009,41,6,2,328,266,1023
,461011,42,6,2,4087,981,1795
,461012,42,6,2,2851,1157,1941
,461013,42,6,2,67,87,358
,461014,42,6,2,716,658,1761
,461016,42,6,2,346,365,1160
,461017,42,6,2,641,541,1776
,461018,42,6,2,496,532,1629
,461019,42,6,2,614,448,1289
,461020,42,6,2,244,354,1397
,461021,42,6,2,165,187,898
,461023,43,6,2,3934,1319,2063
,461024,43,6,2,387,336,1548
,461025,43,6,2,2399,849,1733
,461026,43,6,2,933,963,3015
,461028,43,6,2,273,428,1583
,461029,43,6,2,789,513,1600
,461030,43,6,2,1334,855,2189
,461031,43,6,2,266,257,1027
,461032,43,6,2,74,87,260
,461033,43,6,2,492,426,1490
,461035,41,6,2,2089,594,1754
,461036,41,6,2,1198,462,946
,479001,47,6,2,3345,1584,3051
,479002,47,6,2,693,369,792
,479003,47,6,2,1388,692,1606
,479004,47,6,2,62.41,109.50,365.93
,479005,47,6,2,223,370,1226
,479006,47,6,2,0,0,0
,479007,47,6,2,121,203,785
,479008,47,6,2,47.59,83.50,279.07
,479009,47,6,2,206,208,780
,479010,47,6,2,189,286,1090
,479011,47,6,2,215,288,817
,479014,47,6,2,68,109,402
,479016,47,6,2,181,160,556
,479017,47,6,2,267,227,709
,479019,47,6,2,177,221,821
,479021,47,6,2,98,117,351
,479023,47,6,2,131,128,456
,479025,47,6,2,149,176,377
,479027,47,6,2,184,158,521
,480001,45,6,2,642,667,1591
,480002,45,6,2,55,114,261
,480003,45,6,2,125,313,1002
,480004,45,6,2,662,625,1831
,480005,45,6,2,33,95,367
,480006,45,6,2,76,123,422
,480007,45,6,2,69,133,381
,480008,45,6,2,108,157,884
,480009,45,6,2,94,128,449
,480010,45,6,2,428,404,1200
,482001,47,6,2,103.19,106.94,279.13
,482002,47,6,2,311.91,281.96,677.04
,482005,47,6,2,985.91,681.10,1412.83
,482007,47,6,2,196.56,223.98,578.25
,482011,47,6,2,210.44,218.02,389.75
,492001,48,6,2,689,282,625
,492002,48,6,2,367,257,538
,492003,48,6,2,132,181,277
,510001,61,7,2,2073.77,1416.46,2177.54
,510002,61,7,2,964,716,1719
,510003,61,7,2,550.40,467.90,1123.15
,510004,61,7,2,47.96,82.89,357.72
,510005,61,7,2,51.01,87.34,348.54
,510006,61,7,2,99.03,151.93,583.55
,510007,61,7,2,0,0,0
,510008,61,7,2,113.54,164.56,496.52
,510009,61,7,2,82,154,887
,510010,61,7,2,73.46,144.44,482.48
,510011,61,7,2,86.33,118.37,343.97
,510012,61,7,2,29.57,68.98,285.32
,510013,61,7,2,71.82,119.64,454.32
,510014,61,7,2,101.10,172.65,632.71
,510015,61,7,2,65,109,406
,510016,61,7,2,51,101,304
,510017,61,7,2,990.79,785.23,1892.72
,510018,61,7,2,159.20,216.60,720.46
,510019,61,7,2,46,102,359
,510020,61,7,2,326.55,353.73,906.64
,510021,61,7,2,50.43,94.10,226.50
,510022,61,7,2,16.02,36.17,148.86
,530001,55,7,2,591,674,1936
,530002,55,7,2,163,252,667
,530003,55,7,2,141,185,613
