Gruppe,ValgstedId,KredsNr,StorKredsNr,LandsdelsNr,Kriminalitet B. Anholdelser_Antal anholdelser
,101001,1,1,1,40
,101002,1,1,1,29
,101003,1,1,1,41
,101005,1,1,1,68
,101006,1,1,1,38
,101007,2,1,1,126
,101008,2,1,1,152
,101009,2,1,1,92
,101010,2,1,1,30
,101011,3,1,1,639
,101012,3,1,1,15
,101013,3,1,1,69
,101014,3,1,1,55
,101016,4,1,1,67
,101017,4,1,1,129
,101018,4,1,1,45
,101019,4,1,1,30
,101020,5,1,1,46
,101021,5,1,1,89
,101022,5,1,1,64
,101023,5,1,1,23
,101024,5,1,1,58
,101025,5,1,1,55
,101027,6,1,1,100
,101028,6,1,1,97
,101029,6,1,1,50
,101030,6,1,1,124
,101031,7,1,1,19
,101032,7,1,1,78
,101033,7,1,1,33
,101034,7,1,1,65
,101035,7,1,1,101
,101036,7,1,1,63
,101039,7,1,1,21
,101040,7,1,1,13
,101041,7,1,1,102
,101042,8,1,1,43
,101043,8,1,1,41
,101044,8,1,1,73
,101046,8,1,1,72
,101047,8,1,1,40
,101048,8,1,1,76
,101049,9,1,1,21
,101050,9,1,1,45
,101051,9,1,1,149
,101052,9,1,1,62
,101053,9,1,1,29
,101054,9,1,1,22
,101055,9,1,1,61
,101056,1,1,1,27
,101057,2,1,1,75
,101058,5,1,1,125
,101059,6,1,1,65
,147001,10,1,1,27
,147002,10,1,1,25
,147003,10,1,1,26
,147004,10,1,1,46
,147005,11,1,1,103
,147006,11,1,1,37
,147007,11,1,1,81
,147008,11,1,1,20
,151001,20,2,1,35
,151002,20,2,1,56
,151003,20,2,1,11.42
,151004,20,2,1,28
,151005,20,2,1,4
,151006,20,2,1,36
,151008,20,2,1,24
,151009,20,2,1,21.58
,151010,20,2,1,12
,153001,18,2,1,32
,153002,18,2,1,72
,153003,18,2,1,40
,153004,18,2,1,72
,153005,18,2,1,89.61
,153006,18,2,1,83.39
,155001,12,1,1,23
,155004,12,1,1,59
,157001,13,2,1,13
,157002,13,2,1,12
,157003,13,2,1,32
,157004,13,2,1,37
,157005,13,2,1,21
,157006,13,2,1,7
,157007,13,2,1,15
,157008,13,2,1,10
,157009,13,2,1,27
,157010,13,2,1,23
,159001,15,2,1,23.06
,159002,15,2,1,59
,159003,15,2,1,56
,159004,15,2,1,62
,159005,15,2,1,52
,159006,15,2,1,19
,159007,15,2,1,21
,159008,15,2,1,19
,159009,15,2,1,13.94
,161001,20,2,1,14
,161002,20,2,1,35
,161003,20,2,1,27
,161004,20,2,1,40
,161005,20,2,1,6
,161006,20,2,1,20
,163001,16,2,1,64
,163002,16,2,1,18
,163003,16,2,1,46
,165001,19,2,1,24
,165002,19,2,1,23
,165003,19,2,1,37
,165004,19,2,1,63
,165005,19,2,1,54
,167001,17,2,1,13
,167002,17,2,1,17
,167003,17,2,1,43
,167004,17,2,1,61
,167005,17,2,1,33
,167006,17,2,1,28
,167007,17,2,1,39
,167008,17,2,1,51
,169001,19,2,1,33
,169002,19,2,1,35
,169004,19,2,1,58
,169006,19,2,1,63
,169007,19,2,1,33
,169008,19,2,1,44
,169009,19,2,1,8
,169010,19,2,1,24.85
,169012,19,2,1,18
,169013,19,2,1,2
,169014,19,2,1,15.15
,173001,14,2,1,40
,173002,14,2,1,31
,173003,14,2,1,12
,173004,14,2,1,15
,173005,14,2,1,7
,173006,14,2,1,5
,173007,14,2,1,5
,173008,14,2,1,13
,173009,14,2,1,16
,175001,16,2,1,14
,175002,16,2,1,36
,175003,16,2,1,41
,175004,16,2,1,52
,175005,16,2,1,42
,175006,16,2,1,42
,175007,16,2,1,18
,183001,18,2,1,10
,183002,18,2,1,9
,183003,18,2,1,48
,183004,18,2,1,71.31
,183005,18,2,1,31.69
,185001,12,1,1,29
,185002,12,1,1,29
,185003,12,1,1,39
,185004,12,1,1,62
,185005,12,1,1,32
,185006,12,1,1,106
,187001,18,2,1,41
,187002,18,2,1,5
,187003,18,2,1,16
,190001,25,3,1,30
,190002,25,3,1,7
,190003,25,3,1,3
,190004,25,3,1,2
,190005,25,3,1,11
,190006,25,3,1,13
,190007,25,3,1,31
,201001,26,3,1,5
,201002,26,3,1,5
,201003,26,3,1,8
,201004,26,3,1,13
,201005,26,3,1,11
,210001,22,3,1,18
,210002,22,3,1,13
,210003,22,3,1,15
,210004,22,3,1,13
,210005,22,3,1,59
,210007,22,3,1,23
,210008,22,3,1,0
,210009,22,3,1,21
,217001,21,3,1,48.42
,217002,21,3,1,80
,217003,21,3,1,53
,217004,21,3,1,8
,217005,21,3,1,12
,217006,21,3,1,6
,217007,21,3,1,3
,217008,21,3,1,6
,217009,21,3,1,11
,217010,21,3,1,2
,217011,21,3,1,17
,217012,21,3,1,14.58
,219001,23,3,1,69
,219002,23,3,1,18
,219003,23,3,1,2
,219004,23,3,1,2
,219005,23,3,1,7
,219006,23,3,1,22
,219007,23,3,1,3
,219008,23,3,1,2
,219009,23,3,1,4
,219010,23,3,1,34
,219011,23,3,1,12
,219012,23,3,1,14
,219013,23,3,1,6
,219014,23,3,1,2
,223001,22,3,1,15
,223002,22,3,1,18
,223003,22,3,1,6
,223004,22,3,1,0
,223005,22,3,1,14
,230001,26,3,1,27
,230003,26,3,1,10
,230004,26,3,1,19
,230005,26,3,1,18
,230006,26,3,1,9
,230007,26,3,1,25
,230008,26,3,1,18
,230009,26,3,1,18
,230010,26,3,1,15
,240001,25,3,1,2
,240002,25,3,1,33
,240003,25,3,1,11.93
,240004,25,3,1,7
,240005,25,3,1,5
,240006,25,3,1,5
,240007,25,3,1,15.83
,240008,25,3,1,18.17
,240009,25,3,1,13.07
,250001,24,3,1,54
,250002,24,3,1,23
,250003,24,3,1,13
,250004,24,3,1,46
,250005,24,3,1,36
,250006,24,3,1,25
,253001,35,5,2,67.41
,253002,35,5,2,101.61
,253003,35,5,2,17.98
,253004,35,5,2,23
,253005,35,5,2,19
,259001,34,5,2,54
,259002,34,5,2,44.39
,259003,34,5,2,41.73
,259004,34,5,2,34
,259005,34,5,2,26
,259006,34,5,2,36
,259007,34,5,2,19.27
,259008,34,5,2,6.61
,259009,34,5,2,13
,259010,34,5,2,2
,259011,34,5,2,26
,260001,24,3,1,38
,260002,24,3,1,16
,260003,24,3,1,38.85
,260004,24,3,1,57.15
,260005,24,3,1,14
,265001,36,5,2,31
,265002,36,5,2,9
,265003,36,5,2,39
,265004,36,5,2,13
,265005,36,5,2,34
,265006,36,5,2,18
,265007,36,5,2,6
,265008,36,5,2,1
,265009,36,5,2,7
,265010,36,5,2,39
,265011,36,5,2,9
,265013,36,5,2,12
,265014,36,5,2,10
,265015,36,5,2,8
,265016,36,5,2,9
,265017,36,5,2,16
,265018,36,5,2,3
,265021,36,5,2,9
,269001,35,5,2,10
,269004,35,5,2,29
,269005,35,5,2,26
,270001,23,3,1,21
,270002,23,3,1,13
,270003,23,3,1,1
,270004,23,3,1,18
,270005,23,3,1,9
,270006,23,3,1,21
,270007,23,3,1,17
,270008,23,3,1,32
,270009,23,3,1,10
,270010,23,3,1,3
,270011,23,3,1,14
,270012,23,3,1,3
,306001,38,5,2,19
,306002,38,5,2,16
,306003,38,5,2,16
,306004,38,5,2,17
,306005,38,5,2,8
,306006,38,5,2,13
,306007,38,5,2,44
,306008,38,5,2,5
,306010,38,5,2,5
,306011,38,5,2,27
,306012,38,5,2,1
,306013,38,5,2,6
,316001,37,5,2,37
,316002,37,5,2,55
,316003,37,5,2,20
,316004,37,5,2,8
,316005,37,5,2,9
,316006,37,5,2,7
,316007,37,5,2,26
,316008,37,5,2,7
,316009,37,5,2,12
,316010,37,5,2,18
,316011,37,5,2,43
,316012,37,5,2,30
,316013,37,5,2,15
,316014,37,5,2,22
,316015,37,5,2,1
,320001,33,5,2,34
,320002,33,5,2,53
,320003,33,5,2,21
,320004,33,5,2,17
,320005,33,5,2,29
,320006,33,5,2,10
,320007,33,5,2,16
,326001,38,5,2,14
,326002,38,5,2,0
,326003,38,5,2,35
,326004,38,5,2,15
,326005,38,5,2,10
,326006,38,5,2,2
,326007,38,5,2,14
,326008,38,5,2,15
,326009,38,5,2,19
,326010,38,5,2,13
,326011,38,5,2,5
,326012,38,5,2,62
,326013,38,5,2,12
,326014,38,5,2,7
,326015,38,5,2,10
,326016,38,5,2,12
,326017,38,5,2,2
,326018,38,5,2,27
,329001,39,5,2,67
,329002,39,5,2,3
,329003,39,5,2,1
,329004,39,5,2,18
,329005,39,5,2,4
,329006,39,5,2,31
,329008,39,5,2,3
,329009,39,5,2,0
,329010,39,5,2,1
,329011,39,5,2,1
,329012,39,5,2,8
,329013,39,5,2,7
,329014,39,5,2,3
,330001,40,5,2,14
,330003,40,5,2,7
,330004,40,5,2,2
,330005,40,5,2,40
,330006,40,5,2,59
,330007,40,5,2,14
,330008,40,5,2,12
,330009,40,5,2,55
,330010,40,5,2,9
,330011,40,5,2,36
,330012,40,5,2,0
,330013,40,5,2,2
,330017,40,5,2,0
,330019,40,5,2,107
,330021,40,5,2,20
,330022,40,5,2,57
,330024,40,5,2,5
,330025,40,5,2,9
,336001,33,5,2,19
,336002,33,5,2,19
,336003,33,5,2,29
,336004,33,5,2,10
,340001,39,5,2,19
,340002,39,5,2,7
,340004,39,5,2,18
,340005,39,5,2,32
,340006,39,5,2,16
,340008,39,5,2,11
,340010,39,5,2,27
,350001,34,5,2,7
,350002,34,5,2,8
,350003,34,5,2,4
,350004,34,5,2,7
,350005,34,5,2,14
,350006,34,5,2,23
,350008,34,5,2,9
,350009,34,5,2,7
,350011,34,5,2,1
,350012,34,5,2,4
,360001,29,5,2,4
,360003,29,5,2,36
,360008,29,5,2,10
,360011,29,5,2,19.01
,360013,29,5,2,41
,360014,29,5,2,0
,360019,29,5,2,13
,360020,29,5,2,69
,360021,29,5,2,35.84
,360026,29,5,2,3.15
,360027,29,5,2,1
,360028,29,5,2,0
,360029,29,5,2,14
,360035,29,5,2,20
,360036,29,5,2,35
,360037,29,5,2,8
,370001,32,5,2,18
,370002,32,5,2,7
,370003,32,5,2,15
,370004,32,5,2,15
,370005,32,5,2,8
,370006,32,5,2,17
,370007,32,5,2,9
,370008,32,5,2,20
,370009,32,5,2,9
,370010,32,5,2,4
,370011,32,5,2,8
,370012,32,5,2,1
,370014,32,5,2,22
,370020,32,5,2,26
,370021,32,5,2,49
,370022,32,5,2,78
,370023,32,5,2,22
,370024,32,5,2,16
,370026,32,5,2,13
,370027,32,5,2,17
,370028,32,5,2,33
,370029,32,5,2,3
,370031,32,5,2,17
,370032,32,5,2,7
,376001,30,5,2,69
,376002,30,5,2,44
,376003,30,5,2,20
,376004,30,5,2,14
,376005,30,5,2,7
,376006,30,5,2,4
,376007,30,5,2,7
,376008,30,5,2,15
,376009,30,5,2,28
,376010,30,5,2,25
,376011,30,5,2,28
,376012,30,5,2,13
,376013,30,5,2,44
,376014,30,5,2,15
,376015,30,5,2,12
,376016,30,5,2,26
,376017,30,5,2,21
,376018,30,5,2,7
,376019,30,5,2,10
,376020,30,5,2,18
,390001,31,5,2,57
,390002,31,5,2,29
,390003,31,5,2,7
,390004,31,5,2,17
,390005,31,5,2,6
,390006,31,5,2,25
,390007,31,5,2,7
,390008,31,5,2,16
,390009,31,5,2,10
,390010,31,5,2,11
,390011,31,5,2,8
,390012,31,5,2,13
,390013,31,5,2,7
,390014,31,5,2,6
,390015,31,5,2,11
,390016,31,5,2,12
,390017,31,5,2,9
,400001,28,4,1,13
,400002,28,4,1,6
,400003,28,4,1,3
,400004,28,4,1,12
,400005,28,4,1,11
,400006,28,4,1,23
,400007,27,4,1,8
,400008,27,4,1,86
,400009,27,4,1,6
,410001,45,6,2,26
,410002,45,6,2,16
,410003,45,6,2,6
,410004,45,6,2,14
,410005,45,6,2,8
,410006,45,6,2,14
,410007,45,6,2,8
,410008,45,6,2,7
,410009,45,6,2,15
,410010,45,6,2,8
,410011,45,6,2,8
,411001,28,4,1,0
,420001,44,6,2,41
,420002,44,6,2,5
,420003,44,6,2,4
,420004,44,6,2,10
,420005,44,6,2,15
,420006,44,6,2,2
,420007,44,6,2,9
,420008,44,6,2,13
,420009,44,6,2,6
,420010,44,6,2,4
,420011,44,6,2,33
,420012,44,6,2,0
,420013,44,6,2,10
,420014,44,6,2,3
,420015,44,6,2,6
,420016,44,6,2,4
,420017,44,6,2,9
,420018,44,6,2,9
,430001,48,6,2,0
,430002,48,6,2,3
,430003,48,6,2,10
,430004,48,6,2,4
,430005,48,6,2,0
,430007,48,6,2,21
,430008,48,6,2,3
,430009,48,6,2,12
,430010,48,6,2,0
,430011,48,6,2,3
,430012,48,6,2,6
,430013,48,6,2,2
,430014,48,6,2,7
,430015,48,6,2,40
,430016,48,6,2,6
,430017,48,6,2,9
,430018,48,6,2,11
,430019,48,6,2,3
,430020,48,6,2,5
,430021,48,6,2,3
,430022,48,6,2,5
,440001,46,6,2,10
,440002,46,6,2,32
,440003,46,6,2,4
,440004,46,6,2,7
,440005,46,6,2,16
,440006,46,6,2,27
,450001,46,6,2,5
,450002,46,6,2,44
,450003,46,6,2,14
,450004,46,6,2,6
,450005,46,6,2,5
,450006,46,6,2,11
,450007,46,6,2,0
,450008,46,6,2,1
,450009,46,6,2,2
,450010,46,6,2,2
,450011,46,6,2,7
,450012,46,6,2,5
,450013,46,6,2,2
,461001,41,6,2,175
,461002,41,6,2,69
,461003,41,6,2,17
,461004,41,6,2,29
,461005,41,6,2,55
,461006,41,6,2,10
,461007,41,6,2,26
,461009,41,6,2,12
,461011,42,6,2,40
,461012,42,6,2,78
,461013,42,6,2,6
,461014,42,6,2,21
,461016,42,6,2,12
,461017,42,6,2,23
,461018,42,6,2,11
,461019,42,6,2,14
,461020,42,6,2,11
,461021,42,6,2,13
,461023,43,6,2,38
,461024,43,6,2,14
,461025,43,6,2,30
,461026,43,6,2,27
,461028,43,6,2,20
,461029,43,6,2,19
,461030,43,6,2,30
,461031,43,6,2,7
,461032,43,6,2,1
,461033,43,6,2,8
,461035,41,6,2,124
,461036,41,6,2,14
,479001,47,6,2,112
,479002,47,6,2,13
,479003,47,6,2,51
,479004,47,6,2,2.84
,479005,47,6,2,5
,479006,47,6,2,0
,479007,47,6,2,12
,479008,47,6,2,2.16
,479009,47,6,2,6
,479010,47,6,2,4
,479011,47,6,2,14
,479014,47,6,2,6
,479016,47,6,2,6
,479017,47,6,2,9
,479019,47,6,2,13
,479021,47,6,2,4
,479023,47,6,2,3
,479025,47,6,2,12
,479027,47,6,2,17
,480001,45,6,2,42
,480002,45,6,2,8
,480003,45,6,2,14
,480004,45,6,2,27
,480005,45,6,2,6
,480006,45,6,2,5
,480007,45,6,2,6
,480008,45,6,2,5
,480009,45,6,2,6
,480010,45,6,2,17
,482001,47,6,2,4.13
,482002,47,6,2,9.37
,482005,47,6,2,22.51
,482007,47,6,2,14.36
,482011,47,6,2,3.64
,492001,48,6,2,4
,492002,48,6,2,4
,492003,48,6,2,6
,510001,61,7,2,88.14
,510002,61,7,2,37
,510003,61,7,2,20.79
,510004,61,7,2,4.10
,510005,61,7,2,2.74
,510006,61,7,2,6.58
,510007,61,7,2,0
,510008,61,7,2,4.09
,510009,61,7,2,3
,510010,61,7,2,14.91
,510011,61,7,2,13.26
,510012,61,7,2,6.30
,510013,61,7,2,11.07
,510014,61,7,2,9.44
,510015,61,7,2,4
,510016,61,7,2,3
,510017,61,7,2,23.97
,510018,61,7,2,14.61
,510019,61,7,2,5
,510020,61,7,2,9.96
,510021,61,7,2,3.61
,510022,61,7,2,0.43
,530001,55,7,2,25
,530002,55,7,2,24
,530003,55,7,2,13
,530004,55,7,2,3
,530005,55,7,2,8
,530006,55,7,2,34
,530007,55,7,2,16
,540001,49,7,2,56
,540002,49,7,2,16
,540003,49,7,2,16
