Gruppe,ValgstedId,KredsNr,StorKredsNr,LandsdelsNr,Kriminalitet B. Anholdelser_Antal anholdelser
,540004,49,7,2,13
,540005,49,7,2,21
,540006,49,7,2,5
,540007,49,7,2,11
,540008,49,7,2,5
,540009,49,7,2,59
,540010,49,7,2,47
,540011,49,7,2,94
,540012,49,7,2,15
,540013,49,7,2,7
,540014,49,7,2,8
,540015,49,7,2,24
,540016,49,7,2,22
,540017,49,7,2,1
,550001,51,7,2,3
,550002,51,7,2,13
,550003,51,7,2,5
,550004,51,7,2,9
,550007,51,7,2,0
,550008,51,7,2,3
,550012,51,7,2,16
,550014,51,7,2,5
,550015,51,7,2,7
,550016,51,7,2,14
,550017,51,7,2,5
,550018,51,7,2,5
,550019,51,7,2,2
,550021,51,7,2,20
,550023,51,7,2,20
,550024,51,7,2,5
,550025,51,7,2,95
,550027,51,7,2,5
,550029,51,7,2,7
,550051,51,7,2,6
,550061,51,7,2,12
,550071,51,7,2,11
,561002,52,7,2,201
,561003,52,7,2,41
,561004,52,7,2,46
,561005,52,7,2,54
,561006,52,7,2,18
,561007,52,7,2,54
,561008,53,7,2,17
,561011,52,7,2,29
,561012,53,7,2,17
,561015,52,7,2,16
,561016,53,7,2,9
,561017,53,7,2,3
,561020,53,7,2,11
,561021,52,7,2,68
,561022,52,7,2,15
,561023,52,7,2,19
,561024,53,7,2,16
,561025,53,7,2,42
,561028,53,7,2,48
,561032,53,7,2,6
,561033,53,7,2,9
,561035,53,7,2,0
,561038,53,7,2,11
,561040,53,7,2,17
,563001,52,7,2,5
,563002,52,7,2,0
,573001,54,7,2,98
,573004,54,7,2,0
,573005,54,7,2,0
,573006,54,7,2,1
,573007,54,7,2,7
,573008,54,7,2,5
,573009,54,7,2,8
,573010,54,7,2,7
,573013,54,7,2,7
,573014,54,7,2,2
,573015,54,7,2,7
,573018,54,7,2,8
,573019,54,7,2,4
,573022,54,7,2,2
,573023,54,7,2,5
,573024,54,7,2,2
,573026,54,7,2,3
,573027,54,7,2,1
,573028,54,7,2,6
,573030,54,7,2,25
,573031,54,7,2,12
,573032,54,7,2,6
,573033,54,7,2,6
,575001,55,7,2,27
,575002,55,7,2,3
,575003,55,7,2,18
,575004,55,7,2,5
,575005,55,7,2,11
,575006,55,7,2,1
,575007,55,7,2,14
,575008,55,7,2,8
,575009,55,7,2,17
,575010,55,7,2,2
,575011,55,7,2,9
,575012,55,7,2,4
,575013,55,7,2,2
,575014,55,7,2,41
,575015,55,7,2,4
,575016,55,7,2,5
,575017,55,7,2,7
,575018,55,7,2,0
,575019,55,7,2,12
,580001,50,7,2,7
,580002,50,7,2,5
,580003,50,7,2,17
,580004,50,7,2,9
,580005,50,7,2,11
,580006,50,7,2,2
,580007,50,7,2,11
,580008,50,7,2,8
,580009,50,7,2,7
,580010,50,7,2,3
,580011,50,7,2,19
,580012,50,7,2,26
,580013,50,7,2,11
,580014,50,7,2,12
,580015,50,7,2,20
,580016,50,7,2,85
,580017,50,7,2,12
,580018,50,7,2,20
,607001,58,7,2,100
,607002,58,7,2,2
,607003,58,7,2,26
,607004,58,7,2,4
,607005,58,7,2,12
,607006,58,7,2,81
,607007,58,7,2,3
,607008,58,7,2,82
,615001,71,8,3,46
,615002,71,8,3,68
,615003,71,8,3,138
,615004,71,8,3,0
,615005,71,8,3,51
,615006,71,8,3,23
,615007,71,8,3,14
,615008,71,8,3,8
,615009,71,8,3,14
,615010,71,8,3,7
,615011,71,8,3,9
,615012,71,8,3,6
,615013,71,8,3,30
,615014,71,8,3,8
,615015,71,8,3,3
,615016,71,8,3,5
,615017,71,8,3,14
,615018,71,8,3,12
,615019,71,8,3,10
,615020,71,8,3,1
,615021,71,8,3,32
,615022,71,8,3,1
,621001,59,7,2,98
,621002,59,7,2,103
,621003,59,7,2,47
,621004,59,7,2,11
,621005,59,7,2,6
,621006,59,7,2,13
,621007,59,7,2,20
,621008,60,7,2,73
,621009,60,7,2,58
,621010,60,7,2,27
,621011,60,7,2,5
,621012,60,7,2,13
,621013,60,7,2,6
,621014,60,7,2,44
,621015,60,7,2,32
,630001,57,7,2,8
,630002,57,7,2,17
,630003,57,7,2,0
,630004,57,7,2,6
,630005,57,7,2,4
,630006,57,7,2,17
,630007,57,7,2,2
,630008,57,7,2,6
,630009,57,7,2,244
,630010,57,7,2,5
,630011,57,7,2,9
,630012,57,7,2,3
,630013,57,7,2,19
,630014,57,7,2,21
,630015,57,7,2,31
,630016,56,7,2,4
,630017,56,7,2,26
,630018,56,7,2,10
,630019,56,7,2,2
,630020,56,7,2,5
,630021,56,7,2,8
,630022,56,7,2,3
,630023,56,7,2,10
,630024,56,7,2,10
,630025,56,7,2,9
,630026,56,7,2,14
,630027,56,7,2,14
,630028,56,7,2,6
,630029,56,7,2,7
,630030,56,7,2,57
,630031,56,7,2,3
,630032,56,7,2,18
,630033,56,7,2,19
,630034,56,7,2,11
,657001,80,9,3,244
,657002,80,9,3,13
,657005,80,9,3,24
,657006,80,9,3,11
,657007,80,9,3,14
,657008,80,9,3,18
,657009,80,9,3,1
,657011,80,9,3,4
,657013,81,9,3,17
,657014,81,9,3,3
,657015,81,9,3,19
,657016,81,9,3,3
,657017,81,9,3,32
,657018,81,9,3,3
,657019,81,9,3,4
,657020,81,9,3,3
,657021,81,9,3,4
,657022,81,9,3,3
,657023,81,9,3,16
,657024,81,9,3,16
,657025,81,9,3,23
,657026,81,9,3,9
,657027,81,9,3,14
,657028,81,9,3,0
,657029,81,9,3,5
,657030,81,9,3,0
,661001,82,9,3,117
,661002,82,9,3,7
,661003,82,9,3,8
,661004,82,9,3,8
,661005,82,9,3,80
,661006,82,9,3,19
,661007,82,9,3,6
,661008,82,9,3,37
,661009,82,9,3,18
,661010,82,9,3,3
,665001,73,9,3,45
,665002,73,9,3,14
,665003,73,9,3,8
,665004,73,9,3,10
,665005,73,9,3,19
,665006,73,9,3,9
,665007,73,9,3,12
,665008,73,9,3,7
,671001,73,9,3,77
,671002,73,9,3,17
,671003,73,9,3,7
,671004,73,9,3,5
,671005,73,9,3,1
,671006,73,9,3,6
,671007,73,9,3,14
,706001,66,8,3,32
,706002,66,8,3,10
,706003,66,8,3,16
,706004,66,8,3,25
,706005,66,8,3,22
,706006,66,8,3,24
,706007,66,8,3,16
,706008,66,8,3,31
,707001,66,8,3,58
,707002,66,8,3,0
,707003,66,8,3,15
,707004,66,8,3,28
,707005,66,8,3,15
,707006,66,8,3,20
,707007,66,8,3,9
,707008,66,8,3,9
,707009,66,8,3,13
,707010,66,8,3,9
,710001,69,8,3,15
,710002,69,8,3,8
,710003,69,8,3,8
,710004,69,8,3,19
,710005,69,8,3,5
,710006,69,8,3,11
,710007,69,8,3,12
,710008,69,8,3,2
,710009,69,8,3,17
,710010,69,8,3,16
,710011,69,8,3,10
,710012,69,8,3,8
,710013,69,8,3,3
,710014,69,8,3,4
,727001,70,8,3,43
,727002,70,8,3,0
,727003,70,8,3,0
,727004,70,8,3,1
,727005,70,8,3,2
,727006,70,8,3,1
,727007,70,8,3,8
,727008,70,8,3,3
,727009,70,8,3,0
,727010,70,8,3,0
,730001,68,8,3,17
,730002,68,8,3,8
,730004,68,8,3,2
,730005,67,8,3,19
,730006,67,8,3,16
,730007,67,8,3,10
,730008,67,8,3,3
,730009,67,8,3,8
,730010,67,8,3,8
,730011,67,8,3,11.88
,730012,67,8,3,9
,730013,67,8,3,7
,730014,67,8,3,7
,730015,67,8,3,3
,730016,68,8,3,7
,730017,68,8,3,7
,730021,68,8,3,9
,730024,68,8,3,63.12
,730025,68,8,3,49
,730026,67,8,3,53
,730027,67,8,3,57
,730028,68,8,3,89
,730029,67,8,3,38
,730030,67,8,3,26
,730031,68,8,3,32
,730032,68,8,3,14
,730033,68,8,3,12
,730034,68,8,3,7
,730036,68,8,3,8
,730037,68,8,3,5
,740001,77,9,3,22
,740002,77,9,3,7
,740003,77,9,3,7
,740004,77,9,3,10
,740005,77,9,3,4
,740006,77,9,3,24
,740007,77,9,3,31
,740008,77,9,3,4
,740009,77,9,3,4
,740010,77,9,3,11
,740011,77,9,3,4
,740012,77,9,3,4
,740013,77,9,3,6
,740014,77,9,3,10
,740015,77,9,3,9
,740016,77,9,3,17
,740017,77,9,3,5
,740018,77,9,3,2
,740021,78,9,3,11
,740022,78,9,3,5
,740023,78,9,3,11
,740024,78,9,3,3
,740025,78,9,3,7
,740026,78,9,3,13
,740027,78,9,3,17
,740028,78,9,3,28
,740029,78,9,3,39
,740030,78,9,3,18
,740031,78,9,3,61
,740032,78,9,3,9
,741001,70,8,3,10
,741002,70,8,3,0
,746001,70,8,3,5
,746002,70,8,3,4
,746003,70,8,3,2
,746004,70,8,3,13
,746005,70,8,3,8
,746006,70,8,3,30
,746007,70,8,3,19
,746008,70,8,3,9
,746009,70,8,3,6
,746010,70,8,3,5
,746011,70,8,3,4
,746012,70,8,3,7
,751001,62,8,3,29
,751002,62,8,3,57
,751003,62,8,3,30
,751004,62,8,3,27
,751006,62,8,3,74
,751007,62,8,3,36
,751008,63,8,3,83
,751009,62,8,3,3
,751010,65,8,3,39.61
,751011,62,8,3,24
,751012,62,8,3,3
,751013,62,8,3,22
,751014,62,8,3,8.63
,751016,63,8,3,2
,751018,63,8,3,25
,751019,63,8,3,8
,751020,65,8,3,123.46
,751021,65,8,3,281.30
,751022,64,8,3,15
,751023,64,8,3,81
,751024,64,8,3,54
,751025,63,8,3,174
,751026,63,8,3,43
,751027,63,8,3,28
,751028,63,8,3,73
,751030,63,8,3,28
,751031,63,8,3,3
,751033,63,8,3,11
,751041,65,8,3,20
,751042,64,8,3,51
,751043,64,8,3,53
,751044,64,8,3,14
,751045,64,8,3,8
,751047,65,8,3,46
,751048,65,8,3,12
,751049,65,8,3,5
,751050,65,8,3,9
,751051,65,8,3,26
,751053,64,8,3,21
,751055,64,8,3,5
,751056,64,8,3,9
,751061,65,8,3,78
,751062,63,8,3,63
,751063,63,8,3,134
,751064,63,8,3,40
,751065,65,8,3,15
,751066,62,8,3,22
,751067,64,8,3,47
,751068,64,8,3,28
,756001,79,9,3,9
,756002,79,9,3,13
,756003,79,9,3,25
,756004,79,9,3,8
,756005,79,9,3,47
,756006,79,9,3,4
,756007,79,9,3,93
,756008,79,9,3,19
,756009,79,9,3,15
,756010,79,9,3,10
,760001,83,9,3,30.42
,760002,83,9,3,3
,760004,83,9,3,6.81
,760007,83,9,3,16.76
,760010,83,9,3,8
,760012,83,9,3,3
,760014,83,9,3,32
,760016,83,9,3,12
,760021,83,9,3,9
,760022,83,9,3,7
,760024,83,9,3,23
,760025,83,9,3,2
,760027,83,9,3,14
,760028,83,9,3,2
,760030,83,9,3,13
,760032,83,9,3,11
,760033,83,9,3,6
,760035,83,9,3,11
,766001,72,8,3,35
,766002,72,8,3,15
,766003,72,8,3,7
,766004,72,8,3,7
,766005,72,8,3,5
,766006,72,8,3,6
,766007,72,8,3,8
,766010,72,8,3,14
,766011,72,8,3,3
,766012,72,8,3,10
,766013,72,8,3,10
,766014,72,8,3,4
,766015,72,8,3,4
,766017,72,8,3,13
,766020,72,8,3,2
,766021,72,8,3,15
,766022,72,8,3,7
,766023,72,8,3,5
,766024,72,8,3,2
,773001,87,10,3,3
,773002,87,10,3,9.93
,773003,87,10,3,9.61
,773004,87,10,3,6
,773005,87,10,3,52.46
,779020,74,9,3,2
,779021,74,9,3,172
,779022,74,9,3,16
,779023,74,9,3,25
,779024,74,9,3,23
,779025,74,9,3,14
,779026,74,9,3,12
,779027,74,9,3,16
,787001,87,10,3,59.91
,787002,87,10,3,15.30
,787003,87,10,3,16.09
,787004,87,10,3,15.80
,787005,87,10,3,14.33
,787006,87,10,3,3
,787007,87,10,3,2.90
,787008,87,10,3,5.66
,787009,87,10,3,3.03
,787010,87,10,3,14
,787011,87,10,3,1.37
,787012,87,10,3,7.35
,787013,87,10,3,6.26
,787014,87,10,3,1
,787015,87,10,3,1
,791001,75,9,3,20
,791002,75,9,3,8
,791003,75,9,3,25
,791004,75,9,3,16
,791005,75,9,3,11
,791006,75,9,3,9
,791007,75,9,3,6
,791008,75,9,3,276
,791009,76,9,3,25
,791011,76,9,3,10
,791012,76,9,3,24
,791013,76,9,3,36
,791014,76,9,3,9
,791015,76,9,3,21
,791016,76,9,3,6
,791017,76,9,3,9
,810001,86,10,3,5
,810002,86,10,3,8
,810003,86,10,3,13
,810004,86,10,3,9
,810005,86,10,3,9
,810006,86,10,3,6
,810010,86,10,3,61
,810034,86,10,3,1
,810040,86,10,3,4
,810050,86,10,3,1
,810056,86,10,3,4
,810070,86,10,3,9
,810080,86,10,3,7
,813001,84,10,3,40
,813002,84,10,3,6
,813003,84,10,3,4
,813004,84,10,3,5
,813005,84,10,3,4
,813006,84,10,3,152
,813007,84,10,3,9
,813008,84,10,3,1
,813009,84,10,3,21
,813010,84,10,3,14
,813011,84,10,3,1
,813012,84,10,3,4
,813013,84,10,3,5
,813014,84,10,3,2
,813015,84,10,3,6
,820001,88,10,3,20
,820002,88,10,3,12
,820003,88,10,3,8
,820004,88,10,3,38
,820005,88,10,3,9
,820006,88,10,3,12
,820007,88,10,3,5
,820008,88,10,3,8
,820009,88,10,3,6
,820010,88,10,3,9
,820011,88,10,3,7
,820012,88,10,3,5
,820013,88,10,3,7
,820014,88,10,3,4
,825015,84,10,3,2
,840001,88,10,3,23
,840002,88,10,3,5
,840003,88,10,3,3
,840004,88,10,3,6
,840005,88,10,3,11
,840006,88,10,3,7
,840007,88,10,3,4
,840008,88,10,3,7
,840009,88,10,3,2
,840010,88,10,3,4
,840011,88,10,3,5
,846002,89,10,3,12
,846003,89,10,3,15
,846004,89,10,3,4
,846008,89,10,3,14
,846009,89,10,3,11
,846011,89,10,3,19
,846014,89,10,3,4
,846018,89,10,3,4
,846020,89,10,3,6
,846022,89,10,3,8
,846027,89,10,3,58
,849001,86,10,3,12
,849002,86,10,3,4
,849003,86,10,3,2
,849004,86,10,3,1
,849005,86,10,3,0
,849006,86,10,3,4
,849007,86,10,3,3
,849008,86,10,3,16
,849009,86,10,3,2
,849010,86,10,3,14
,849011,86,10,3,4
,849012,86,10,3,9
,849013,86,10,3,16
,849014,86,10,3,3
,849015,86,10,3,7
,849016,86,10,3,4
,849018,86,10,3,35
,849020,86,10,3,8
,849021,86,10,3,14
,851003,92,10,3,46.63
,851004,92,10,3,36.37
,851005,92,10,3,57
,851007,92,10,3,13
,851009,92,10,3,13.72
,851010,92,10,3,17.28
,851011,92,10,3,19
,851012,92,10,3,45.87
,851014,91,10,3,35
,851015,91,10,3,40
,851016,92,10,3,122.13
,851017,91,10,3,34
,851018,91,10,3,20
,851019,91,10,3,13.90
,851020,91,10,3,8.10
,851022,91,10,3,11
,851024,91,10,3,32
,851027,90,10,3,38.92
,851028,90,10,3,29.13
,851029,90,10,3,32.32
,851030,90,10,3,28.83
,851031,90,10,3,36
,851032,90,10,3,17
,851033,90,10,3,3
,851034,90,10,3,5.57
,851035,90,10,3,20
,851036,90,10,3,20.23
,851038,91,10,3,8
,851040,90,10,3,58
,851043,92,10,3,15
,851044,92,10,3,25
,851046,92,10,3,8
,851047,91,10,3,14
,851052,91,10,3,5
,851056,90,10,3,17
,851058,90,10,3,13
,851061,90,10,3,14
,860001,85,10,3,4
,860003,85,10,3,31
,860004,85,10,3,63
,860006,85,10,3,5
,860007,85,10,3,5
,860008,85,10,3,6
,860011,85,10,3,9
,860012,85,10,3,10
,860013,85,10,3,3
,860014,85,10,3,6
,860015,85,10,3,16
,860016,85,10,3,25
,860018,85,10,3,21
,860019,85,10,3,30
,860020,85,10,3,2
,860021,85,10,3,6
,860022,85,10,3,18
,860023,85,10,3,2
,860026,85,10,3,8
,860027,85,10,3,4
,860028,85,10,3,8
