Gruppe;ValgstedId;KredsNr;StorKredsNr;LandsdelsNr;Opførelsesår_Antal_personer_Før 1940
;101001;1;1;1;13292
;101002;1;1;1;6352
;101003;1;1;1;14556
;101005;1;1;1;11108
;101006;1;1;1;8816
;101007;2;1;1;6492
;101008;2;1;1;11394
;101009;2;1;1;1167
;101010;2;1;1;7324
;101011;3;1;1;19527
;101012;3;1;1;9040
;101013;3;1;1;7282
;101014;3;1;1;14145
;101016;4;1;1;8492
;101017;4;1;1;13607
;101018;4;1;1;9434
;101019;4;1;1;6487
;101020;5;1;1;8423
;101021;5;1;1;8445
;101022;5;1;1;5517
;101023;5;1;1;8399
;101024;5;1;1;8294
;101025;5;1;1;11119
;101027;6;1;1;7486
;101028;6;1;1;4107
;101029;6;1;1;2797
;101030;6;1;1;8463
;101031;7;1;1;4261
;101032;7;1;1;45
;101033;7;1;1;8682
;101034;7;1;1;8315
;101035;7;1;1;2751
;101036;7;1;1;4449
;101039;7;1;1;3670
;101040;7;1;1;5370
;101041;7;1;1;7410
;101042;8;1;1;8753
;101043;8;1;1;9453
;101044;8;1;1;1973
;101046;8;1;1;2074
;101047;8;1;1;2696
;101048;8;1;1;5482
;101049;9;1;1;10064
;101050;9;1;1;10326
;101051;9;1;1;5503
;101052;9;1;1;8365
;101053;9;1;1;7017
;101054;9;1;1;2149
;101055;9;1;1;1091
;101056;1;1;1;5481
;101057;2;1;1;1428
;101058;5;1;1;7682
;101059;6;1;1;6086
;147001;10;1;1;9808
;147002;10;1;1;8985
;147003;10;1;1;13202
;147004;10;1;1;9552
;147005;11;1;1;8304
;147006;11;1;1;5856
;147007;11;1;1;8181
;147008;11;1;1;8969
;151001;20;2;1;35
;151002;20;2;1;580
;151003;20;2;1;152,27
;151004;20;2;1;100
;151005;20;2;1;281
;151006;20;2;1;148
;151008;20;2;1;202
;151009;20;2;1;92,73
;151010;20;2;1;185
;153001;18;2;1;379
;153002;18;2;1;265
;153003;18;2;1;35
;153004;18;2;1;209
;153005;18;2;1;147,10
;153006;18;2;1;136,90
;155001;12;1;1;1396
;155004;12;1;1;815
;157001;13;2;1;3606
;157002;13;2;1;3529
;157003;13;2;1;5592
;157004;13;2;1;2518
;157005;13;2;1;5861
;157006;13;2;1;6802
;157007;13;2;1;6598
;157008;13;2;1;4403
;157009;13;2;1;5471
;157010;13;2;1;4236
;159001;15;2;1;783,87
;159002;15;2;1;1928
;159003;15;2;1;1279
;159004;15;2;1;1819
;159005;15;2;1;1009
;159006;15;2;1;844
;159007;15;2;1;2738
;159008;15;2;1;757
;159009;15;2;1;164,13
;161001;20;2;1;142
;161002;20;2;1;1371
;161003;20;2;1;1452
;161004;20;2;1;59
;161005;20;2;1;121
;161006;20;2;1;226
;163001;16;2;1;670
;163002;16;2;1;397
;163003;16;2;1;150
;165001;19;2;1;268
;165002;19;2;1;129
;165003;19;2;1;489
;165004;19;2;1;64
;165005;19;2;1;3
;167001;17;2;1;838
;167002;17;2;1;745
;167003;17;2;1;925
;167004;17;2;1;1499
;167005;17;2;1;1386
;167006;17;2;1;464
;167007;17;2;1;352
;167008;17;2;1;275
;169001;19;2;1;242
;169002;19;2;1;913
;169004;19;2;1;373
;169006;19;2;1;141
;169007;19;2;1;426
;169008;19;2;1;72
;169009;19;2;1;619
;169010;19;2;1;633,62
;169012;19;2;1;842
;169013;19;2;1;285
;169014;19;2;1;386,38
;173001;14;2;1;4258
;173002;14;2;1;926
;173003;14;2;1;444
;173004;14;2;1;3352
;173005;14;2;1;1124
;173006;14;2;1;1579
;173007;14;2;1;194
;173008;14;2;1;1776
;173009;14;2;1;768
;175001;16;2;1;2384
;175002;16;2;1;744
;175003;16;2;1;1982
;175004;16;2;1;257
;175005;16;2;1;607
;175006;16;2;1;442
;175007;16;2;1;-
;183001;18;2;1;550
;183002;18;2;1;2
;183003;18;2;1;38
;183004;18;2;1;98,66
;183005;18;2;1;128,34
;185001;12;1;1;164
;185002;12;1;1;460
;185003;12;1;1;574
;185004;12;1;1;1683
;185005;12;1;1;1318
;185006;12;1;1;1354
;187001;18;2;1;210
;187002;18;2;1;148
;187003;18;2;1;1
;190001;25;3;1;437
;190002;25;3;1;669
;190003;25;3;1;443
;190004;25;3;1;130
;190005;25;3;1;100
;190006;25;3;1;855
;190007;25;3;1;211
;201001;26;3;1;327
;201002;26;3;1;460
;201003;26;3;1;479
;201004;26;3;1;1026
;201005;26;3;1;294
;210001;22;3;1;1163
;210002;22;3;1;1579
;210003;22;3;1;1191
;210004;22;3;1;440
;210005;22;3;1;301
;210007;22;3;1;95
;210008;22;3;1;595
;210009;22;3;1;214
;217001;21;3;1;4967,58
;217002;21;3;1;1203
;217003;21;3;1;982
;217004;21;3;1;1001
;217005;21;3;1;1346
;217006;21;3;1;652
;217007;21;3;1;720
;217008;21;3;1;307
;217009;21;3;1;1174
;217010;21;3;1;1375
;217011;21;3;1;412
;217012;21;3;1;1496,42
;219001;23;3;1;3637
;219002;23;3;1;1282
;219003;23;3;1;288
;219004;23;3;1;263
;219005;23;3;1;480
;219006;23;3;1;202
;219007;23;3;1;246
;219008;23;3;1;275
;219009;23;3;1;347
;219010;23;3;1;718
;219011;23;3;1;501
;219012;23;3;1;1316
;219013;23;3;1;273
;219014;23;3;1;312
;223001;22;3;1;984
;223002;22;3;1;609
;223003;22;3;1;1679
;223004;22;3;1;243
;223005;22;3;1;417
;230001;26;3;1;298
;230003;26;3;1;2598
;230004;26;3;1;388
;230005;26;3;1;1188
;230006;26;3;1;554
;230007;26;3;1;974
;230008;26;3;1;495
;230009;26;3;1;700
;230010;26;3;1;2385
;240001;25;3;1;365
;240002;25;3;1;407
;240003;25;3;1;776,53
;240004;25;3;1;336
;240005;25;3;1;580
;240006;25;3;1;303
;240007;25;3;1;661,58
;240008;25;3;1;188,38
;240009;25;3;1;186,51
;250001;24;3;1;1467
;250002;24;3;1;574
;250003;24;3;1;785
;250004;24;3;1;2781
;250005;24;3;1;1594
;250006;24;3;1;1280
;253001;35;5;2;266,64
;253002;35;5;2;1084,56
;253003;35;5;2;237,79
;253004;35;5;2;657
;253005;35;5;2;766
;259001;34;5;2;4066
;259002;34;5;2;40,42
;259003;34;5;2;1015,19
;259004;34;5;2;280
;259005;34;5;2;443
;259006;34;5;2;1756
;259007;34;5;2;694,81
;259008;34;5;2;416,58
;259009;34;5;2;702
;259010;34;5;2;658
;259011;34;5;2;1323
;260001;24;3;1;1818
;260002;24;3;1;766
;260003;24;3;1;547,74
;260004;24;3;1;2039,26
;260005;24;3;1;533
;265001;36;5;2;3894
;265002;36;5;2;779
;265003;36;5;2;2140
;265004;36;5;2;1207
;265005;36;5;2;1198
;265006;36;5;2;743
;265007;36;5;2;159
;265008;36;5;2;400
;265009;36;5;2;416
;265010;36;5;2;601
;265011;36;5;2;937
;265013;36;5;2;417
;265014;36;5;2;545
;265015;36;5;2;66
;265016;36;5;2;515
;265017;36;5;2;1577
;265018;36;5;2;441
;265021;36;5;2;339
;269001;35;5;2;808
;269004;35;5;2;1037
;269005;35;5;2;717
;270001;23;3;1;729
;270002;23;3;1;1039
;270003;23;3;1;441
;270004;23;3;1;1539
;270005;23;3;1;390
;270006;23;3;1;1390
;270007;23;3;1;609
;270008;23;3;1;1465
;270009;23;3;1;583
;270010;23;3;1;542
;270011;23;3;1;829
;270012;23;3;1;638
;306001;38;5;2;1066
;306002;38;5;2;1091
;306003;38;5;2;1233
;306004;38;5;2;1483
;306005;38;5;2;449
;306006;38;5;2;1424
;306007;38;5;2;1551
;306008;38;5;2;433
;306010;38;5;2;739
;306011;38;5;2;1148
;306012;38;5;2;373
;306013;38;5;2;574
;316001;37;5;2;1219
;316002;37;5;2;1361
;316003;37;5;2;2787
;316004;37;5;2;1151
;316005;37;5;2;1052
;316006;37;5;2;904
;316007;37;5;2;1493
;316008;37;5;2;1760
;316009;37;5;2;1558
;316010;37;5;2;1478
;316011;37;5;2;1634
;316012;37;5;2;2010
;316013;37;5;2;1113
;316014;37;5;2;1533
;316015;37;5;2;375
;320001;33;5;2;2283
;320002;33;5;2;2835
;320003;33;5;2;1599
;320004;33;5;2;1784
;320005;33;5;2;1845
;320006;33;5;2;1372
;320007;33;5;2;1290
;326001;38;5;2;1463
;326002;38;5;2;193
;326003;38;5;2;1775
;326004;38;5;2;1205
;326005;38;5;2;1008
;326006;38;5;2;235
;326007;38;5;2;495
;326008;38;5;2;1592
;326009;38;5;2;1255
;326010;38;5;2;1192
;326011;38;5;2;1097
;326012;38;5;2;1837
;326013;38;5;2;1530
;326014;38;5;2;915
;326015;38;5;2;1045
;326016;38;5;2;925
;326017;38;5;2;301
;326018;38;5;2;131
;329001;39;5;2;3075
;329002;39;5;2;653
;329003;39;5;2;449
;329004;39;5;2;820
;329005;39;5;2;926
;329006;39;5;2;1027
;329008;39;5;2;713
;329009;39;5;2;490
;329010;39;5;2;532
;329011;39;5;2;411
;329012;39;5;2;609
;329013;39;5;2;451
;329014;39;5;2;419
;330001;40;5;2;1938
;330003;40;5;2;771
;330004;40;5;2;625
;330005;40;5;2;2034
;330006;40;5;2;2127
;330007;40;5;2;421
;330008;40;5;2;1149
;330009;40;5;2;825
;330010;40;5;2;918
;330011;40;5;2;2754
;330012;40;5;2;-
;330013;40;5;2;784
;330017;40;5;2;-
;330019;40;5;2;5164
;330021;40;5;2;1611
;330022;40;5;2;1974
;330024;40;5;2;882
;330025;40;5;2;1178
;336001;33;5;2;2584
;336002;33;5;2;1750
;336003;33;5;2;3057
;336004;33;5;2;2007
;340001;39;5;2;1835
;340002;39;5;2;775
;340004;39;5;2;920
;340005;39;5;2;2423
;340006;39;5;2;1836
;340008;39;5;2;1417
;340010;39;5;2;2625
;350001;34;5;2;1023
;350002;34;5;2;567
;350003;34;5;2;473
;350004;34;5;2;252
;350005;34;5;2;525
;350006;34;5;2;976
;350008;34;5;2;807
;350009;34;5;2;824
;350011;34;5;2;598
;350012;34;5;2;983
;360001;29;5;2;524
;360003;29;5;2;1298
;360008;29;5;2;641
;360011;29;5;2;1139,58
;360013;29;5;2;2851
;360014;29;5;2;-
;360019;29;5;2;1980
;360020;29;5;2;3969
;360021;29;5;2;1900,55
;360026;29;5;2;325,88
;360027;29;5;2;296
;360028;29;5;2;-
;360029;29;5;2;1627
;360035;29;5;2;1518
;360036;29;5;2;1886
;360037;29;5;2;335
;370001;32;5;2;2201
;370002;32;5;2;716
;370003;32;5;2;1243
;370004;32;5;2;618
;370005;32;5;2;570
;370006;32;5;2;1112
;370007;32;5;2;986
;370008;32;5;2;480
;370009;32;5;2;385
;370010;32;5;2;830
;370011;32;5;2;1331
;370012;32;5;2;393
;370014;32;5;2;1270
;370020;32;5;2;713
;370021;32;5;2;2132
;370022;32;5;2;1942
;370023;32;5;2;1310
;370024;32;5;2;584
;370026;32;5;2;844
;370027;32;5;2;813
;370028;32;5;2;5
;370029;32;5;2;333
;370031;32;5;2;1239
;370032;32;5;2;707
;376001;30;5;2;3276
;376002;30;5;2;2325
;376003;30;5;2;172
;376004;30;5;2;1153
;376005;30;5;2;1169
;376006;30;5;2;1292
;376007;30;5;2;557
;376008;30;5;2;1682
;376009;30;5;2;1143
;376010;30;5;2;1307
;376011;30;5;2;1518
;376012;30;5;2;1572
;376013;30;5;2;2331
;376014;30;5;2;995
;376015;30;5;2;982
;376016;30;5;2;2225
;376017;30;5;2;2171
;376018;30;5;2;795
;376019;30;5;2;876
;376020;30;5;2;786
;390001;31;5;2;1961
;390002;31;5;2;1597
;390003;31;5;2;672
;390004;31;5;2;584
;390005;31;5;2;735
;390006;31;5;2;2206
;390007;31;5;2;481
;390008;31;5;2;2843
;390009;31;5;2;1102
;390010;31;5;2;1833
;390011;31;5;2;610
;390012;31;5;2;1240
;390013;31;5;2;818
;390014;31;5;2;469
;390015;31;5;2;993
;390016;31;5;2;916
;390017;31;5;2;554
;400001;28;4;1;1799
;400002;28;4;1;2069
;400003;28;4;1;1440
;400004;28;4;1;2088
;400005;28;4;1;890
;400006;28;4;1;3254
;400007;27;4;1;1553
;400008;27;4;1;5398
;400009;27;4;1;1363
;410001;45;6;2;3122
;410002;45;6;2;809
;410003;45;6;2;974
;410004;45;6;2;740
;410005;45;6;2;776
;410006;45;6;2;1476
;410007;45;6;2;1071
;410008;45;6;2;1345
;410009;45;6;2;1419
;410010;45;6;2;1440
;410011;45;6;2;969
;411001;28;4;1;-
;420001;44;6;2;2775
;420002;44;6;2;1151
;420003;44;6;2;579
;420004;44;6;2;708
;420005;44;6;2;1379
;420006;44;6;2;353
;420007;44;6;2;976
;420008;44;6;2;1108
;420009;44;6;2;717
;420010;44;6;2;703
;420011;44;6;2;1857
;420012;44;6;2;562
;420013;44;6;2;984
;420014;44;6;2;501
;420015;44;6;2;462
;420016;44;6;2;718
;420017;44;6;2;661
;420018;44;6;2;846
;430001;48;6;2;672
;430002;48;6;2;636
;430003;48;6;2;834
;430004;48;6;2;655
;430005;48;6;2;-
;430007;48;6;2;3122
;430008;48;6;2;1102
;430009;48;6;2;1098
;430010;48;6;2;-
;430011;48;6;2;1121
;430012;48;6;2;840
;430013;48;6;2;820
;430014;48;6;2;946
;430015;48;6;2;2586
;430016;48;6;2;750
;430017;48;6;2;922
;430018;48;6;2;1041
;430019;48;6;2;718
;430020;48;6;2;1050
;430021;48;6;2;544
;430022;48;6;2;1027
;440001;46;6;2;1285
;440002;46;6;2;1834
;440003;46;6;2;1369
;440004;46;6;2;775
;440005;46;6;2;753
;440006;46;6;2;575
;450001;46;6;2;1074
;450002;46;6;2;1535
;450003;46;6;2;3166
;450004;46;6;2;686
;450005;46;6;2;831
;450006;46;6;2;604
;450007;46;6;2;263
;450008;46;6;2;321
;450009;46;6;2;610
;450010;46;6;2;489
;450011;46;6;2;853
;450012;46;6;2;820
;450013;46;6;2;699
;461001;41;6;2;8296
;461002;41;6;2;5797
;461003;41;6;2;1216
;461004;41;6;2;5366
;461005;41;6;2;583
;461006;41;6;2;404
;461007;41;6;2;601
;461009;41;6;2;680
;461011;42;6;2;8061
;461012;42;6;2;1348
;461013;42;6;2;463
;461014;42;6;2;913
;461016;42;6;2;541
;461017;42;6;2;801
;461018;42;6;2;894
;461019;42;6;2;529
;461020;42;6;2;438
;461021;42;6;2;1029
;461023;43;6;2;8995
;461024;43;6;2;3839
;461025;43;6;2;242
;461026;43;6;2;957
;461028;43;6;2;702
;461029;43;6;2;1970
;461030;43;6;2;1027
;461031;43;6;2;373
;461032;43;6;2;533
;461033;43;6;2;838
;461035;41;6;2;108
;461036;41;6;2;49
;479001;47;6;2;6228
;479002;47;6;2;1012
;479003;47;6;2;1632
;479004;47;6;2;686,48
;479005;47;6;2;1011
;479006;47;6;2;-
;479007;47;6;2;508
;479008;47;6;2;523,52
;479009;47;6;2;1051
;479010;47;6;2;880
;479011;47;6;2;597
;479014;47;6;2;716
;479016;47;6;2;950
;479017;47;6;2;1246
;479019;47;6;2;1435
;479021;47;6;2;818
;479023;47;6;2;863
;479025;47;6;2;820
;479027;47;6;2;1032
;480001;45;6;2;2514
;480002;45;6;2;734
;480003;45;6;2;2043
;480004;45;6;2;1640
;480005;45;6;2;813
;480006;45;6;2;674
;480007;45;6;2;890
;480008;45;6;2;832
;480009;45;6;2;955
;480010;45;6;2;1198
;482001;47;6;2;558,40
;482002;47;6;2;1539,52
;482005;47;6;2;2865,08
;482007;47;6;2;1159,05
;482011;47;6;2;1003,95
;492001;48;6;2;1670
;492002;48;6;2;1397
;492003;48;6;2;788
;510001;61;7;2;4335,54
;510002;61;7;2;1691
;510003;61;7;2;1503,38
;510004;61;7;2;623,28
;510005;61;7;2;521,97
;510006;61;7;2;659,21
;510007;61;7;2;-
;510008;61;7;2;831,03
;510009;61;7;2;391
;510010;61;7;2;639,97
;510011;61;7;2;641,34
;510012;61;7;2;279,22
;510013;61;7;2;493,08
;510014;61;7;2;870,45
;510015;61;7;2;499
;510016;61;7;2;253
;510017;61;7;2;653,06
;510018;61;7;2;1216,47
;510019;61;7;2;573
;510020;61;7;2;1025,95
;510021;61;7;2;327,26
;510022;61;7;2;265,79
;530001;55;7;2;221
;530002;55;7;2;754
;530003;55;7;2;678
;530004;55;7;2;348
;530005;55;7;2;408
;530006;55;7;2;1294
;530007;55;7;2;732
;540001;49;7;2;1405
;540002;49;7;2;657
;540003;49;7;2;1141
;540004;49;7;2;1106
